"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Indifra Limited IPO","Dec 21, 2023","Dec 26, 2023","Dec 29, 2023","Beeline Capital","Spread X Securities","65.00","14.04","2,000","NSE SME",""
"Shanti Spintex Limited IPO","Dec 19, 2023","Dec 21, 2023","Dec 27, 2023","Hem Securities","Hem Finlease","70.00","31.25","2,000","BSE SME",""
"Electro Force (India) Limited IPO","Dec 19, 2023","Dec 21, 2023","Dec 27, 2023","First Overseas Capital","Arham Shares","93.00","80.68","1,200","NSE SME",""
"Sahara Maritime Limited IPO","Dec 18, 2023","Dec 20, 2023","Dec 26, 2023","Swaraj shares and securities","Shreni Shares","81.00","6.88","1,600","BSE SME",""
"Benchmark Computer Solutions Limited IPO","Dec 14, 2023","Dec 18, 2023","Dec 21, 2023","Beeline Capital","Spread X Securities","66.00","12.24","2,000","BSE SME",""
"Siyaram Recycling Industries Limited IPO","Dec 14, 2023","Dec 18, 2023","Dec 21, 2023","Hem Securities","Hem Finlease","46.00","22.96","3,000","BSE SME",""
"Shree OSFM E-Mobility Limited IPO","Dec 14, 2023","Dec 18, 2023","Dec 21, 2023","First Overseas Capital","Bhh Securities","65.00","24.60","2,000","NSE SME",""
"S J Logistics (India) Limited IPO","Dec 12, 2023","Dec 14, 2023","Dec 19, 2023","Hem Securities","Hem Finlease","125.00","48.00","1,000","NSE SME",""
"Presstonic Engineering Limited IPO","Dec 11, 2023","Dec 13, 2023","Dec 18, 2023","Finshore","Nikunj Stock Brokers","72.00","23.30","1,600","NSE SME",""
"Accent Microcell Limited IPO","Dec 08, 2023","Dec 12, 2023","Dec 15, 2023","Corporate Capital","Prabhat Financial Services","140.00","78.40","1,000","NSE SME",""
"Sheetal Universal Limited IPO","Dec 04, 2023","Dec 06, 2023","Dec 11, 2023","Beeline Capital","Spread X Securities","70.00","23.80","2,000","NSE SME",""
"Graphisads Limited IPO","Nov 30, 2023","Dec 05, 2023","Dec 13, 2023","First Overseas Capital","Rikhav Securities","111.00","53.41","1,200","NSE SME",""
"Marinetrans India Limited IPO","Nov 30, 2023","Dec 05, 2023","Dec 08, 2023","Swaraj shares and securities","Nnm Securities","26.00","10.92","4,000","NSE SME",""
"Net Avenue Technologies Limited IPO","Nov 30, 2023","Dec 04, 2023","Dec 08, 2023","Shreni Shares","Shreni Shares","18.00","10.25","8,000","NSE SME",""
"Deepak Chemtex Limited IPO","Nov 29, 2023","Dec 01, 2023","Dec 06, 2023","Hem Securities","Hem Finlease","80.00","23.04","1,600","BSE SME",""
"AMIC Forging Limited IPO","Nov 29, 2023","Dec 01, 2023","Dec 06, 2023","Gretex Corporate Services","Gretex Share Broking","126.00","34.80","1,000","BSE SME",""
"Swashthik Plascon Limited IPO","Nov 24, 2023","Nov 29, 2023","Dec 05, 2023","Shreni Shares","Nikunj Stock Brokers","86.00","40.76","1,600","BSE SME",""
"Rockingdeals Circular Economy Limited IPO","Nov 22, 2023","Nov 24, 2023","Nov 30, 2023","Corporate Capital","Ss Corporate Securities","140.00","21.00","1,000","NSE SME",""
"Arrowhead Seperation Engineering Limited IPO","Nov 16, 2023","Nov 20, 2023","Nov 28, 2023","Aryaman Financial Services","Aryaman Capital Markets","233.00","13.00","600","BSE SME",""
"Kalyani Cast Tech Ltd IPO","Nov 08, 2023","Nov 10, 2023","Nov 17, 2023","Gretex Corporate Services","Gretex Share Broking","139.00","30.11","1,000","BSE SME",""
"Sunrest Lifescience Limited IPO","Nov 07, 2023","Nov 09, 2023","Nov 20, 2023","Mark Corporate Advisors","Svcm Securities","84.00","10.85","1,600","NSE SME",""
"ROX Hi-Tech Limited IPO","Nov 07, 2023","Nov 09, 2023","Nov 16, 2023","Swaraj shares and securities","Share India Securities","83.00","54.49","1,600","NSE SME",""
"Micropro Software Solutions Limited IPO","Nov 03, 2023","Nov 07, 2023","Nov 10, 2023","Swaraj shares and securities","Nikunj Stock Brokers","81.00","30.70","1,600","NSE SME",""
"Baba Food Processing India Limited IPO","Nov 03, 2023","Nov 07, 2023","Nov 15, 2023","Horizon Management","Nikunj Stock Brokers","76.00","33.00","1,600","NSE SME",""
"SAR Televenture Limited IPO","Nov 01, 2023","Nov 03, 2023","Nov 08, 2023","Pantomath Capital Advisors","R.K.Stock Holding","55.00","24.75","2,000","NSE SME",""
"Mish Designs Limited IPO","Oct 31, 2023","Nov 02, 2023","Nov 07, 2023","Aryaman Financial Services","Nikunj Stock Brokers","122.00","9.76","1,000","BSE SME",""
"Transteel Seating Technologies Limited IPO","Oct 30, 2023","Nov 01, 2023","Nov 06, 2023","Gretex Corporate Services
Pantomath Capital Advisors","Gretex Share Broking","70.00","49.98","2,000","NSE SME",""
"Vrundavan Plantation Limited IPO","Oct 30, 2023","Nov 01, 2023","Nov 06, 2023","Interactive Financial","Nikunj Stock Brokers","108.00","15.29","1,200","BSE SME",""
"Maitreya Medicare Limited IPO","Oct 27, 2023","Nov 01, 2023","Nov 07, 2023","GYR Capital Advisors","Giriraj Stock Broking","82.00","14.89","1,600","NSE SME",""
"Shanthala FMCG Products Limited IPO","Oct 27, 2023","Oct 31, 2023","Nov 03, 2023","First Overseas Capital","Bhh Securities","91.00","16.07","1,200","NSE SME",""
"KK Shah Hospitals Limited IPO","Oct 27, 2023","Oct 31, 2023","Nov 06, 2023","Fedex Securities
Shreni Shares","Rikhav Securities","45.00","8.78","3,000","BSE SME",""
"Paragon Fine And Speciality Chemicals Limited IPO","Oct 26, 2023","Oct 30, 2023","Nov 03, 2023","Hem Securities","Hem Finlease","100.00","51.66","1,200","NSE SME",""
"On Door Concepts Limited IPO","Oct 23, 2023","Oct 27, 2023","Nov 01, 2023","First Overseas Capital","Bhh Securities","208.00","31.18","600","NSE SME",""
"Rajgor Castor Derivatives Limited IPO","Oct 17, 2023","Oct 20, 2023","Oct 31, 2023","Beeline Capital","Spread X Securities","50.00","47.81","3,000","NSE SME",""
"WomanCart Limited IPO","Oct 16, 2023","Oct 18, 2023","Oct 27, 2023","Narnolia Financial","Nikunj Stock Brokers","86.00","9.56","1,600","NSE SME",""
"Arvind and Company Shipping Agencies Limited IPO","Oct 12, 2023","Oct 16, 2023","Oct 25, 2023","Beeline Capital","Spread X Securities","45.00","14.74","3,000","NSE SME",""
"Committed Cargo Care Limited IPO","Oct 06, 2023","Oct 10, 2023","Oct 18, 2023","Fedex Securities","Nikunj Stock Brokers","77.00","24.98","1,600","NSE SME",""
"Vishnusurya Projects and Infra Limited IPO","Sep 29, 2023","Oct 05, 2023","Oct 10, 2023","Khandwala Securities","Nikunj Stock Brokers","68.00","49.98","2,000","NSE SME",""
"Sharp Chucks And Machines Limited IPO","Sep 29, 2023","Oct 05, 2023","Oct 12, 2023","Fedex Securities","Nikunj Stock Brokers","58.00","16.84","2,000","NSE SME",""
"Plada Infotech Services Limited IPO","Sep 29, 2023","Oct 05, 2023","Oct 13, 2023","Indorient Financial","Nikunj Stock Brokers","48.00","12.36","3,000","NSE SME",""
"Karnika Industries Limited IPO","Sep 29, 2023","Oct 05, 2023","Oct 12, 2023","Beeline Capital","Spread X Securities","76.00","25.07","1,600","NSE SME",""
"Vivaa Tradecom Limited IPO","Sep 27, 2023","Oct 04, 2023","Oct 12, 2023","Interactive Financial","Asnani Stock Broker","51.00","7.99","2,000","BSE SME",""
"E Factor Experiences Limited IPO","Sep 27, 2023","Oct 03, 2023","Oct 09, 2023","Hem Securities","Hem Finlease","75.00","25.92","1,600","NSE SME",""
"Kontor Space Limited IPO","Sep 27, 2023","Oct 03, 2023","Oct 10, 2023","Srujan Alpha Capital Advisors","Rikhav Securities","93.00","15.62","1,200","NSE SME",""
"Vinyas Innovative Technologies Limited IPO","Sep 27, 2023","Oct 03, 2023","Oct 06, 2023","Sarthi Capital Advisors","Gretex Share Broking","165.00","54.66","800","NSE SME",""
"Oneclick Logistics India Limited IPO","Sep 27, 2023","Oct 03, 2023","Oct 11, 2023","Fedex Securities","Ss Corporate Securities","99.00","9.91","1,200","NSE SME",""
"Canarys Automations Limited IPO","Sep 27, 2023","Oct 03, 2023","Oct 11, 2023","Indorient Financial","Alacrity Securities","31.00","47.03","4,000","NSE SME",""
"Sunita Tools Limited IPO","Sep 26, 2023","Oct 03, 2023","Oct 11, 2023","Aryaman Financial Services","Ss Corporate Securities","145.00","22.04","1,000","BSE SME",""
"Goyal Salt Limited IPO","Sep 26, 2023","Oct 03, 2023","Oct 11, 2023","Holani Consultants","Holani Consultants","38.00","18.63","3,000","NSE SME",""
"City Crops Agro Limited IPO","Sep 26, 2023","Sep 29, 2023","Oct 10, 2023","Turnaround Corporate","Mnm Stock Broking","25.00","15.00","6,000","BSE SME",""
"Digikore Studios Limited IPO","Sep 25, 2023","Sep 27, 2023","Oct 04, 2023","Sarthi Capital Advisors","Gretex Share Broking","171.00","30.48","800","NSE SME",""
"Saakshi Medtech and Panels Limited IPO","Sep 25, 2023","Sep 27, 2023","Oct 03, 2023","Hem Securities","Hem Finlease","97.00","45.16","1,200","NSE SME",""
"Inspire Films Limited IPO","Sep 25, 2023","Sep 27, 2023","Oct 05, 2023","Narnolia Financial","Share India Securities","59.00","21.23","2,000","NSE SME",""
"Newjaisa Technologies Limited IPO","Sep 25, 2023","Sep 27, 2023","Oct 05, 2023","Indorient Financial","Nikunj Stock Brokers","47.00","39.93","3,000","NSE SME",""
"Arabian Petroleum Limited IPO","Sep 25, 2023","Sep 27, 2023","Oct 09, 2023","Hem Securities","Hem Finlease","70.00","20.24","2,000","NSE SME",""
"Organic Recycling Systems Limited IPO","Sep 21, 2023","Sep 26, 2023","Oct 06, 2023","Arihant Capital Markets","Arihant Capital Markets","200.00","50.00","600","BSE SME",""
"Hi-Green Carbon Limited IPO","Sep 21, 2023","Sep 25, 2023","Sep 28, 2023","Beeline Capital","Spread X Securities","75.00","52.80","1,600","NSE SME",""
"Mangalam Alloys Limited IPO","Sep 21, 2023","Sep 25, 2023","Oct 04, 2023","Expert Global Consultants","Rikhav Securities","80.00","54.91","1,600","NSE SME",""
"Marco Cables & Conductors Limited IPO","Sep 21, 2023","Sep 25, 2023","Sep 28, 2023","Shreni Shares","Shreni Shares","36.00","18.73","3,000","NSE SME",""
"Madhusudan Masala Limited IPO","Sep 18, 2023","Sep 21, 2023","Sep 26, 2023","Hem Securities","Hem Finlease","70.00","23.80","2,000","NSE SME",""
"Techknowgreen Solutions Limited IPO","Sep 18, 2023","Sep 21, 2023","Sep 27, 2023","Indorient Financial","Alacrity Securities","86.00","16.72","1,600","BSE SME",""
"Master Components Limited IPO","Sep 18, 2023","Sep 21, 2023","Sep 29, 2023","Aryaman Financial Services","Aryaman Capital Markets","140.00","15.43","1,000","NSE SME",""
"Cellecor Gadgets Limited IPO","Sep 15, 2023","Sep 20, 2023","Sep 28, 2023","Narnolia Financial","Ss Corporate Securities
Kantilal Chhaganlal Securities","92.00","50.77","1,200","NSE SME",""
"Holmarc Opto-Mechatronics Limited IPO","Sep 15, 2023","Sep 20, 2023","Sep 25, 2023","Finshore","Nikunj Stock Brokers","40.00","11.40","3,000","NSE SME",""
"Kody Technolab Limited IPO","Sep 15, 2023","Sep 20, 2023","Sep 27, 2023","Beeline Capital","Spread X Securities","160.00","27.52","800","NSE SME",""
"Kundan Edifice Limited IPO","Sep 12, 2023","Sep 15, 2023","Sep 26, 2023","Fedex Securities","Gretex Share Broking","91.00","25.22","1,200","NSE SME",""
"Chavda Infra Limited IPO","Sep 12, 2023","Sep 14, 2023","Sep 25, 2023","Beeline Capital","Spread X Securities","65.00","43.26","2,000","NSE SME",""
"Unihealth Consultancy Limited IPO","Sep 08, 2023","Sep 12, 2023","Sep 21, 2023","Unistone Capital","Rikhav Securities","132.00","56.55","1,000","NSE SME",""
"Jiwanram Sheoduttrai Industries Limited IPO","Sep 08, 2023","Sep 12, 2023","Sep 18, 2023","Affinity Global","Giriraj Stock Broking","23.00","17.07","6,000","NSE SME",""
"Meson Valves India Limited IPO","Sep 08, 2023","Sep 12, 2023","Sep 21, 2023","Shreni Shares","Shreni Shares","102.00","31.09","1,200","BSE SME",""
"Kahan Packaging Limited IPO","Sep 06, 2023","Sep 08, 2023","Sep 15, 2023","Hem Securities","Hem Finlease","80.00","5.76","1,600","BSE SME",""
"Basilic Fly Studio Limited IPO","Sep 01, 2023","Sep 05, 2023","Sep 14, 2023","GYR Capital Advisors","Share India Securities","97.00","66.35","1,200","NSE SME",""
"Pramara Promotions Limited IPO","Sep 01, 2023","Sep 05, 2023","Sep 13, 2023","Fedex Securities","Pure Broking","63.00","15.27","2,000","NSE SME",""
"Saroja Pharma Industries India Limited IPO","Aug 31, 2023","Sep 05, 2023","Sep 13, 2023","Swastika Investmart","Swastika Investmart","84.00","9.11","1,600","NSE SME",""
"C P S Shapers Limited IPO","Aug 29, 2023","Aug 31, 2023","Sep 07, 2023","Shreni Shares","Shreni Shares","185.00","11.10","600","NSE SME",""
"Mono Pharmacare Limited IPO","Aug 28, 2023","Aug 30, 2023","Sep 07, 2023","Unistone Capital","Rikhav Securities","28.00","14.84","4,000","NSE SME",""
"Sahaj Fashions Limited IPO","Aug 25, 2023","Aug 29, 2023","Sep 06, 2023","Khambatta Securities","Nnm Securities","30.00","13.96","4,000","NSE SME",""
"Sungarner Energies Limited IPO","Aug 21, 2023","Aug 23, 2023","Aug 31, 2023","Fast Track Finsec","Nikunj Stock Brokers","83.00","5.31","1,600","NSE SME",""
"Crop Life Science Limited IPO","Aug 18, 2023","Aug 22, 2023","Aug 30, 2023","Interactive Financial","Nikunj Stock Brokers","52.00","26.73","2,000","NSE SME",""
"Bondada Engineering Limited IPO","Aug 18, 2023","Aug 22, 2023","Aug 30, 2023","Vivro Financial","Rikhav Securities","75.00","42.72","1,600","BSE SME",""
"Shoora Designs Limited IPO","Aug 17, 2023","Aug 21, 2023","Aug 29, 2023","Swaraj shares and securities","Rikhav Securities","48.00","2.03","3,000","BSE SME",""
"Shelter Pharma Limited IPO","Aug 10, 2023","Aug 14, 2023","Aug 23, 2023","Gretex Corporate Services","Gretex Share Broking","42.00","16.03","3,000","BSE SME",""
"Srivari Spices and Foods Limited IPO","Aug 07, 2023","Aug 09, 2023","Aug 18, 2023","GYR Capital Advisors","Nikunj Stock Brokers","42.00","9.00","3,000","NSE SME",""
"Yudiz Solutions Limited IPO","Aug 04, 2023","Aug 08, 2023","Aug 17, 2023","Narnolia Financial","Kantilal Chhaganlal Securities","165.00","44.84","800","NSE SME",""
"Sangani Hospitals Limited IPO","Aug 04, 2023","Aug 08, 2023","Aug 17, 2023","Unistone Capital","Rikhav Securities","40.00","15.17","3,000","NSE SME",""
"Vinsys IT Services Limited IPO","Aug 01, 2023","Aug 04, 2023","Aug 11, 2023","Beeline Capital","Sunflower Broking","128.00","49.84","1,000","NSE SME",""
"Oriana Power Limited IPO","Aug 01, 2023","Aug 03, 2023","Aug 11, 2023","Corporate Capital","Share India Securities","118.00","59.66","1,200","NSE SME",""
"Zeal Global Services Limited IPO","Jul 28, 2023","Aug 01, 2023","Aug 09, 2023","Expert Global Consultants","Rikhav Securities","103.00","36.46","1,200","NSE SME",""
"Shri Techtex Limited IPO","Jul 26, 2023","Jul 28, 2023","Aug 04, 2023","Beeline Capital","Sunflower Broking","61.00","45.14","2,000","NSE SME",""
"Innovatus Entertainment Networks Limited IPO","Jul 25, 2023","Jul 27, 2023","Aug 04, 2023","Inventure Merchant Banker","Pure Broking","50.00","7.74","3,000","BSE SME",""
"Khazanchi Jewellers Limited IPO","Jul 24, 2023","Jul 28, 2023","Aug 07, 2023","Mark Corporate Advisors","Svcm Securities","140.00","97.00","1,000","BSE SME",""
"Yasons Chemex Care Limited IPO","Jul 24, 2023","Jul 26, 2023","Aug 03, 2023","Fedex Securities","Nikunj Stock Brokers","40.00","20.57","3,000","NSE SME",""
"Asarfi Hospital Limited IPO","Jul 17, 2023","Jul 19, 2023","Jul 26, 2023","Hem Securities","Hem Finlease","52.00","26.94","2,000","BSE SME",""
"Service Care Limited IPO","Jul 14, 2023","Jul 18, 2023","Jul 26, 2023","Swastika Investmart","Rikhav Securities","67.00","20.68","2,000","NSE SME",""
"Ahasolar Technologies Limited IPO","Jul 10, 2023","Jul 13, 2023","Jul 21, 2023","Beeline Capital","Sunflower Broking","157.00","12.85","800","BSE SME",""
"Kaka Industries Limited IPO","Jul 10, 2023","Jul 12, 2023","Jul 19, 2023","Hem Securities","Hem Finlease","58.00","21.23","2,000","BSE SME",""
"Drone Destination Limited IPO","Jul 07, 2023","Jul 13, 2023","Jul 21, 2023","Narnolia Financial","Nikunj Stock Brokers
Share India Securities","65.00","44.20","2,000","NSE SME",""
"AccelerateBS India Limited IPO","Jul 06, 2023","Jul 11, 2023","Jul 19, 2023","Shreni Shares","Shreni Shares","90.00","5.69","1,600","BSE SME",""
"Alphalogic Industries Limited IPO","Jul 03, 2023","Jul 06, 2023","Jul 14, 2023","Finshore","Nikunj Stock Brokers","96.00","12.88","1,200","BSE SME",""
"Tridhya Tech Limited IPO","Jun 30, 2023","Jul 05, 2023","Jul 13, 2023","Interactive Financial","Econo Broking","42.00","26.41","3,000","NSE SME",""
"Synoptics Technologies Limited IPO","Jun 30, 2023","Jul 05, 2023","Jul 13, 2023","First Overseas Capital","Nnm Securities","237.00","54.03","600","NSE SME",""
"Global Pet Industries Limited IPO","Jun 28, 2023","Jul 03, 2023","Jul 10, 2023","Shreni Shares","Shreni Shares","49.00","13.23","3,000","NSE SME",""
"Pentagon Rubber Limited IPO","Jun 26, 2023","Jun 30, 2023","Jul 07, 2023","Beeline Capital","Sunflower Broking","70.00","16.17","2,000","NSE SME",""
"Essen Speciality Films Limited IPO","Jun 23, 2023","Jun 27, 2023","Jul 06, 2023","GYR Capital Advisors","Smc Global Securities","107.00","66.33","1,200","NSE SME",""
"Greenchef Appliances Limited IPO","Jun 23, 2023","Jun 27, 2023","Jul 06, 2023","Hem Securities","Hem Finlease","87.00","53.62","1,600","NSE SME",""
"Magson Retail And Distribution Limited IPO","Jun 23, 2023","Jun 27, 2023","Jul 06, 2023","Isk Advisors","Sunflower Broking","65.00","13.74","2,000","NSE SME",""
"Veefin Solutions Limited IPO","Jun 22, 2023","Jun 26, 2023","Jul 05, 2023","Shreni Shares","Shreni Shares","82.00","46.73","1,600","BSE SME",""
"Aatmaj Healthcare Limited IPO","Jun 19, 2023","Jun 21, 2023","Jun 30, 2023","Nirbhay Capital","Rikhav Securities","60.00","38.40","2,000","NSE SME",""
"Vilin Bio Med Limited IPO","Jun 16, 2023","Jun 21, 2023","Jun 30, 2023","Inventure Merchant Banker","Rikhav Securities","30.00","12.00","4,000","NSE SME",""
"Cell Point (India) Limited IPO","Jun 15, 2023","Jun 20, 2023","Jun 28, 2023","First Overseas Capital","Nnm Securities","100.00","50.34","1,200","NSE SME",""
"Cosmic CRF Limited IPO","Jun 14, 2023","Jun 21, 2023","Jun 30, 2023","Horizon Management","Giriraj Stock Broking","314.00","57.21","400","BSE SME",""
"Bizotic Commercial Limited IPO","Jun 12, 2023","Jun 15, 2023","Jun 23, 2023","Interactive Financial","Beeline Broking","175.00","42.21","800","BSE SME",""
"Urban Enviro Waste Management Limited IPO","Jun 12, 2023","Jun 14, 2023","Jun 22, 2023","Pantomath Capital Advisors","Asnani Stock Broker
Nikunj Stock Brokers","100.00","11.42","1,200","NSE SME",""
"Spectrum Talent Management Limited IPO","Jun 09, 2023","Jun 14, 2023","Jun 22, 2023","Sarthi Capital Advisors","Rikhav Securities","173.00","105.14","800","NSE SME",""
"Sonalis Consumer Products Limited IPO","Jun 07, 2023","Jun 09, 2023","Jun 19, 2023","Expert Global Consultants","Beeline Broking","30.00","2.83","4,000","BSE SME",""
"Kore Digital Limited IPO","Jun 02, 2023","Jun 07, 2023","Jun 14, 2023","First Overseas Capital","Nnm Securities","180.00","18.00","800","NSE SME",""
"Comrade Appliances Limited IPO","May 31, 2023","Jun 05, 2023","Jun 13, 2023","Gretex Corporate Services","Gretex Share Broking","54.00","12.30","2,000","BSE SME",""
"Sahana System Limited IPO","May 31, 2023","Jun 02, 2023","Jun 12, 2023","Unistone Capital
Interactive Financial","Rikhav Securities","135.00","32.74","1,000","NSE SME",""
"CFF Fluid Control Limited IPO","May 30, 2023","Jun 02, 2023","Jun 12, 2023","Aryaman Financial Services","Aryaman Capital Markets","165.00","85.80","800","BSE SME",""
"Infollion Research Services Limited IPO","May 29, 2023","May 31, 2023","Jun 08, 2023","Holani Consultants","Holani Consultants","82.00","21.45","1,600","NSE SME",""
"Hemant Surgical Industries Limited IPO","May 24, 2023","May 26, 2023","Jun 05, 2023","Hem Securities","Hem Finlease","90.00","24.84","1,600","BSE SME",""
"Proventus Agrocom Limited IPO","May 24, 2023","May 26, 2023","Jun 05, 2023","Sundae Capital Advisors","Ajcon Global Services","771.00","69.54","160","NSE SME",""
"Vasa Denticity Limited IPO","May 23, 2023","May 25, 2023","Jun 02, 2023","Hem Securities","Hem Finlease","128.00","54.07","1,000","NSE SME",""
"Crayons Advertising Limited IPO","May 22, 2023","May 25, 2023","Jun 02, 2023","Corporate Capital","Ss Corporate Securities","65.00","41.80","2,000","NSE SME",""
"Remus Pharmaceuticals Limited IPO","May 17, 2023","May 19, 2023","May 29, 2023","Beeline Capital","Sunflower Broking","1229.00","47.69","100","NSE SME",""
"Krishca Strapping Solutions Limited IPO","May 16, 2023","May 19, 2023","May 26, 2023","Share India Capital Services","Share India Securities","54.00","17.93","2,000","NSE SME",""
"Auro Impex & Chemicals Limited IPO","May 11, 2023","May 15, 2023","May 23, 2023","Affinity Global","Rikhav Securities","78.00","27.07","1,600","NSE SME",""
"Innokaiz India Limited IPO","Apr 28, 2023","May 03, 2023","May 11, 2023","Gretex Corporate Services","Gretex Share Broking","78.00","21.17","1,600","BSE SME",""
"De Neers Tools Limited IPO","Apr 28, 2023","May 03, 2023","May 11, 2023","Khambatta Securities
Share India Capital Services","Share India Securities","101.00","22.99","1,200","NSE SME",""
"Retina Paints Limited IPO","Apr 19, 2023","Apr 24, 2023","May 03, 2023","Gretex Corporate Services","Gretex Share Broking","30.00","11.10","4,000","BSE SME",""
"Quicktouch Technologies Limited IPO","Apr 18, 2023","Apr 21, 2023","May 02, 2023","Share India Capital Services
Khambatta Securities","Share India Securities","61.00","9.33","2,000","NSE SME",""
"A G Universal Limited IPO","Apr 11, 2023","Apr 13, 2023","Apr 24, 2023","Share India Capital Services","Share India Securities","60.00","8.72","2,000","NSE SME",""
"Pattech Fitwell Tube Components Limited IPO","Apr 05, 2023","Apr 12, 2023","Apr 21, 2023","Fedex Securities","Pure Broking","50.00","12.00","3,000","NSE SME",""
"MOS Utility Limited IPO","Mar 31, 2023","Apr 06, 2023","Apr 18, 2023","Unistone Capital","Rikhav Securities","76.00","49.97","1,600","NSE SME",""
"Sancode Technologies Limited IPO","Mar 31, 2023","Apr 06, 2023","Apr 18, 2023","Shreni Shares","Shreni Shares","47.00","5.15","3,000","BSE SME",""
"Infinium Pharmachem Limited IPO","Mar 31, 2023","Apr 05, 2023","Apr 17, 2023","Swastika Investmart","Swastika Investmart","135.00","25.26","1,000","NSE SME",""
"Exhicon Events Media Solutions Limited IPO","Mar 31, 2023","Apr 05, 2023","Apr 17, 2023","Share India Capital Services","Share India Securities","64.00","21.12","2,000","BSE SME",""
"Sotac Pharmaceuticals Limited IPO","Mar 29, 2023","Apr 03, 2023","Apr 13, 2023","Beeline Capital","Sunflower Broking","111.00","33.30","1,200","NSE SME",""
"Maiden Forgings Limited IPO","Mar 23, 2023","Mar 27, 2023","Apr 06, 2023","Share India Capital Services","Share India Securities","63.00","23.84","2,000","BSE SME",""
"Dev Labtech Venture Limited IPO","Mar 17, 2023","Mar 21, 2023","Mar 29, 2023","Beeline Capital","Sunflower Broking","51.00","11.22","2,000","BSE SME",""
"Command Polymers Limited IPO","Mar 17, 2023","Mar 21, 2023","Mar 29, 2023","Aryaman Financial Services","Aryaman Capital Markets","28.00","7.09","4,000","BSE SME",""
"Nirman Agri Genetics Limited IPO","Mar 15, 2023","Mar 20, 2023","Mar 28, 2023","First Overseas Capital","Nnm Securities","99.00","20.30","1,200","NSE SME",""
"Bright Outdoor Media Limited IPO","Mar 14, 2023","Mar 17, 2023","Mar 24, 2023","Shreni Shares","Shreni Shares","146.00","55.48","1,000","BSE SME",""
"Quality Foils (India) Limited IPO","Mar 14, 2023","Mar 16, 2023","Mar 24, 2023","Khambatta Securities","Khambatta Securities","60.00","4.52","2,000","NSE SME",""
"Labelkraft Technologies Limited IPO","Mar 13, 2023","Mar 15, 2023","Mar 23, 2023","Hem Securities","Hem Securities","55.00","4.75","2,000","BSE SME",""
"VELS Film International Limited IPO","Mar 10, 2023","Mar 14, 2023","Mar 22, 2023","Khambatta Securities","Ss Corporate Securities","99.00","33.74","1,200","NSE SME",""
"Sudarshan Pharma Industries Ltd IPO","Mar 09, 2023","Mar 14, 2023","Mar 22, 2023","Gretex Corporate Services","Gretex Share Broking","73.00","50.10","1,600","BSE SME",""
"Prospect Commodities Limited IPO","Mar 08, 2023","Mar 13, 2023","Mar 20, 2023","Interactive Financial","Beeline Broking","61.00","7.48","2,000","BSE SME",""
"MCON Rasayan India Limited IPO","Mar 06, 2023","Mar 10, 2023","Mar 20, 2023","GYR Capital Advisors","Econo Broking","40.00","6.84","3,000","NSE SME",""
"Systango Technologies Limited IPO","Mar 02, 2023","Mar 06, 2023","Mar 15, 2023","Hem Securities","Hem Finlease","90.00","34.82","1,600","NSE SME",""
"Vertexplus Technologies Limited IPO","Mar 02, 2023","Mar 06, 2023","Mar 15, 2023","Beeline Capital","Prabhat Financial Services","96.00","14.20","1,200","NSE SME",""
