"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Kaushalya Logistics Limited IPO","Dec 29, 2023","Jan 03, 2024","Jan 08, 2024","Khandwala Securities","Nikunj Stock Brokers","75.00","36.60","1,600","NSE SME",""
"Kay Cee Energy & Infra Limited IPO","Dec 28, 2023","Jan 02, 2024","Jan 05, 2024","GYR Capital Advisors","Giriraj Stock Broking","54.00","15.93","2,000","NSE SME",""
"Shri Balaji Valve Components Limited IPO","Dec 27, 2023","Dec 29, 2023","Jan 03, 2024","Hem Securities","Hem Finlease","100.00","21.60","1,200","BSE SME",""
"Manoj Ceramic Limited IPO","Dec 27, 2023","Dec 29, 2023","Jan 03, 2024","Swaraj shares and securities","Shreni Shares","62.00","14.47","2,000","BSE SME",""
"HRH Next Services Limited IPO","Dec 27, 2023","Dec 29, 2023","Jan 03, 2024","Finshore","Nikunj Stock Brokers","36.00","9.57","3,000","NSE SME",""
"Akanksha Power and Infrastructure Limited IPO","Dec 27, 2023","Dec 29, 2023","Jan 03, 2024","Narnolia Financial","Nikunj Stock Brokers
Ss Corporate Securities","55.00","27.49","2,000","NSE SME",""
"AIK Pipes And Polymers Limited IPO","Dec 26, 2023","Dec 28, 2023","Jan 02, 2024","Shreni Shares","Shreni Shares","89.00","15.02","1,600","BSE SME",""
"Sameera Agro And Infra Limited IPO","Dec 21, 2023","Dec 27, 2023","Jan 01, 2024","First Overseas Capital","Svcm Securities","180.00","62.64","800","NSE SME",""
"Trident Techlabs Limited IPO","Dec 21, 2023","Dec 26, 2023","Dec 29, 2023","GYR Capital Advisors","Giriraj Stock Broking","35.00","16.03","4,000","NSE SME",""
"Supreme Power Equipment Limited IPO","Dec 21, 2023","Dec 26, 2023","Dec 29, 2023","Narnolia Financial","Share India Securities","65.00","46.67","2,000","NSE SME",""
