"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Axita Cotton Limited IPO","Dec 27, 2018","Jan 02, 2019","Jan 10, 2019","Beeline Broking","","60.00","10.51","2,000","BSE SME",""
"Deccan Health Care Limited IPO","Dec 18, 2018","Dec 20, 2018","Dec 31, 2018","Pantomath Capital Advisors","","100.00","42.12","1,200","BSE SME",""
"Shankar Lal Rampal Dye-Chem Limited IPO","Dec 12, 2018","Dec 14, 2018","","Finshore","","45.00","7.29","3,000","BSE SME",""
"DRS Dilip Roadlines Limited IPO","Nov 27, 2018","Nov 30, 2018","","Aryaman Financial Services","","75.00","31.50","1,600","NSE SME",""
"Diksha Greens Limited IPO","Nov 26, 2018","Nov 28, 2018","","Finshore","","30.00","13.32","4,000","BSE SME",""
"Shubhlaxmi Jewel Art Limited IPO","Nov 22, 2018","Nov 27, 2018","","Pantomath Capital Advisors","","26.00","6.51","4,000","NSE SME",""
"ICL Multitrading India Limited IPO","Nov 19, 2018","Dec 03, 2018","","Corporate Capital","","85.00","17.86","1,600","NSE SME",""
"Roni Households Limited IPO","Nov 19, 2018","Nov 22, 2018","","Aryaman Financial Services","","20.00","3.00","6,000","BSE SME",""
"Shree Krishna Infrastructure Limited IPO","Nov 15, 2018","Nov 22, 2018","","Finshore","","13.00","1.17","10,000","BSE SME",""
"Ultra Wiring Connectivity Systems Limited IPO","Oct 12, 2018","Oct 17, 2018","","D And A Financial Services","","35.00","4.82","4,000","NSE SME",""
"Iris Clothings Limited IPO","Oct 10, 2018","Oct 12, 2018","Oct 23, 2018","Vc Corporate Advisors","","90.00","11.07","1,600","NSE SME",""
"BCPL Railway Infrastructure Limited (BRIL) IPO","Oct 05, 2018","Oct 19, 2018","","Gretex Corporate Services","","35.00","17.01","4,000","BSE SME",""
"S. M. Gold Limited IPO","Oct 03, 2018","Oct 10, 2018","","First Overseas Capital","","30.00","7.50","4,000","BSE SME",""
"Veeram Infra Engineering Limited Limited (VIEL) IPO","Sep 28, 2018","Oct 12, 2018","","First Overseas Capital","","51.00","10.74","2,000","BSE SME",""
"B&B Triplewall Containers Limited IPO","Sep 28, 2018","Oct 05, 2018","","Gretex Corporate Services","","36.00","19.99","3,000","NSE SME",""
"AKI India Limited IPO","Sep 28, 2018","Oct 05, 2018","","Finshore","","11.00","3.08","10,000","BSE SME",""
"Shubham Polyspin Limited IPO","Sep 28, 2018","Oct 04, 2018","","Beeline Broking","","40.00","6.00","3,000","BSE SME",""
"Marine Electricals (India) Limited IPO","Sep 28, 2018","Oct 03, 2018","Oct 11, 2018","Aryaman Financial Services","","66.00","42.87","2,000","NSE SME",""
"Vinny Overseas Limited IPO","Sep 28, 2018","Oct 03, 2018","","Pantomath Capital Advisors","","40.00","10.38","3,000","NSE SME",""
"Sun Retail Limited IPO","Sep 27, 2018","Oct 08, 2018","","Fedex Securities","","23.00","10.12","6,000","BSE SME",""
"Silgo Retail Limited IPO","Sep 27, 2018","Oct 03, 2018","Oct 10, 2018","Aryaman Financial Services","","36.00","4.88","3,000","NSE SME",""
"Dolfin Rubbers Limited IPO","Sep 27, 2018","Oct 01, 2018","","Guiness Corporate Advisors","","26.00","5.20","4,000","BSE SME",""
