"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Kritika Wires Limited IPO","Sep 26, 2018","Oct 01, 2018","","Hem Securities","","32.00","15.40","4,000","NSE SME",""
"Parin Furniture Limited IPO","Sep 26, 2018","Sep 28, 2018","Oct 09, 2018","Hem Securities","","63.00","18.90","2,000","NSE SME",""
"A-1 Acid Limited IPO","Sep 25, 2018","Oct 01, 2018","","Guiness Corporate Advisors","","60.00","18.00","2,000","BSE SME",""
"Rajnandini Metal Limited IPO","Sep 24, 2018","Sep 27, 2018","","Corporate Capital","","26.00","4.27","4,000","NSE SME",""
"Innovative Ideals and Services (India) Limited IPO","Sep 24, 2018","Sep 26, 2018","Oct 05, 2018","Pantomath Capital Advisors","","40.00","12.26","3,000","BSE SME",""
"Kshitij Polyline Limited IPO","Sep 21, 2018","Sep 27, 2018","Oct 08, 2018","Monarch Networth Capital","","35.00","8.75","4,000","NSE SME",""
"Manorama Industries Limited IPO","Sep 21, 2018","Sep 25, 2018","","Pantomath Capital Advisors","","188.00","64.00","600","BSE SME",""
"Mac Hotels Limited IPO","Sep 19, 2018","Sep 25, 2018","","Gretex Corporate Services","","24.00","1.94","6,000","BSE SME",""
"Sky Gold Limited IPO","Sep 18, 2018","Sep 21, 2018","Oct 04, 2018","Aryaman Financial Services","","180.00","25.56","","BSE SME",""
"Spectrum Electrical Industries Limited IPO","Sep 17, 2018","Sep 21, 2018","","Arihant Capital Markets","","65.00","25.87","2,000","NSE SME",""
"Ranjeet Mechatronics Limited IPO","Sep 12, 2018","Sep 17, 2018","Sep 26, 2018","Beeline Broking","","25.00","4.50","6,000","BSE SME",""
"Ahlada Engineers Ltd IPO","Sep 11, 2018","Sep 18, 2018","Oct 27, 2018","Saffron Capital Advisors","","150.00","51.08","1,000","NSE SME",""
"Akg Exim Limited IPO","Sep 10, 2018","Sep 14, 2018","","Navigant Corporate","","31.00","5.52","4,000","NSE SME",""
"Rajshree Polypack Limited IPO","Sep 10, 2018","Sep 12, 2018","Sep 24, 2018","Pl Capital Markets","","120.00","35.52","1,000","NSE SME",""
"Synergy Green Industries Limited IPO","Sep 04, 2018","Sep 11, 2018","","Swastika Investmart","","70.00","26.46","2,000","BSE SME",""
"Lagnam Spintex Limited IPO","Sep 04, 2018","Sep 07, 2018","","Boi Merchant Bankers
Holani Consultants","","41.00","24.60","3,000","NSE SME",""
"Sumit Woods Limited IPO","Aug 29, 2018","Aug 31, 2018","Sep 10, 2018","Mark Corporate Advisors","","45.00","18.24","3,000","NSE SME",""
"Marshall Machines Limited IPO","Aug 28, 2018","Aug 30, 2018","","Sarthi Capital Advisors","","42.00","16.25","3,000","NSE SME",""
"Supreme Engineering Ltd IPO","Aug 24, 2018","Aug 29, 2018","Sep 06, 2018","Ckp Financial","","27.00","17.78","4,000","NSE SME",""
"Add-Shop Promotions Limited IPO","Aug 21, 2018","Aug 30, 2018","Sep 10, 2018","Fedex Securities","","26.00","6.23","4,000","BSE SME",""
"Dangee Dums Limited IPO","Aug 20, 2018","Aug 24, 2018","Sep 03, 2018","Monarch Networth Capital","","74.00","20.07","1,600","NSE SME",""
"Aaron Industries Limited IPO","Aug 20, 2018","Aug 24, 2018","","Gretex Corporate Services","","38.00","4.78","3,000","NSE SME",""
"Powerful Technologies Limited IPO","Aug 09, 2018","Aug 17, 2018","","Finshore","","51.00","13.55","2,000","NSE SME",""
"Sungold Media and Entertainment Limited IPO","Aug 09, 2018","Aug 14, 2018","","Finshore","","10.00","1.35","10,000","BSE SME",""
"Deep Polymers Limited IPO","Aug 08, 2018","Aug 13, 2018","","Gretex Corporate Services","","40.00","15.24","3,000","BSE SME",""
"Saketh Exim Limited IPO","Aug 01, 2018","Aug 03, 2018","Aug 13, 2018","Aryaman Financial Services","","69.00","9.44","2,000","NSE SME",""
"Salebhai Internet Limited IPO","Jul 27, 2018","Aug 01, 2018","Aug 10, 2018","Monarch Networth Capital","","105.00","23.73","1,200","BSE SME",""
"Ushanti Colour Chem Limited IPO","Jul 23, 2018","Jul 25, 2018","Aug 02, 2018","Pantomath Capital Advisors","","60.00","11.56","2,000","NSE SME",""
"Supershakti Metaliks Limited IPO","Jul 17, 2018","Jul 20, 2018","Jul 30, 2018","Aryaman Financial Services","","375.00","60.01","300","BSE SME",""
"Ganesh Films India Limited IPO","Jul 16, 2018","Jul 23, 2018","Jul 31, 2018","Fedex Securities","","80.00","8.42","1,600","BSE SME",""
"Avon Moldplast Limited IPO","Jul 12, 2018","Jul 18, 2018","","Turnaround Corporate","","51.00","4.51","2,000","NSE SME",""
"Ambani Organics Limited IPO","Jul 06, 2018","Jul 10, 2018","","Aryaman Financial Services","","66.00","9.03","2,000","NSE SME",""
"Raw Edge Industrial Solutions Ltd IPO","Jul 05, 2018","Jul 10, 2018","","Guiness Corporate Advisors","","72.00","16.50","1,600","BSE SME",""
"Rudrabhishek Enterprises Limited IPO","Jun 29, 2018","Jul 05, 2018","","Corporate Capital
Khambatta Securities","","41.00","18.73","3,000","NSE SME",""
"Jakharia Fabric Limited IPO","Jun 29, 2018","Jul 03, 2018","Jul 11, 2018","Aryaman Financial Services","","180.00","19.66","800","NSE SME",""
"Ganga Forging Limited IPO","Jun 29, 2018","Jul 03, 2018","Jul 11, 2018","Pantomath Capital Advisors","","21.00","5.00","6,000","NSE SME",""
"Bright Solar Limited IPO","Jun 26, 2018","Jun 29, 2018","Jul 09, 2018","Swastika Investmart","","36.00","19.44","3,000","NSE SME",""
"Rajnish Wellness Limited IPO","Jun 25, 2018","Jun 29, 2018","","Navigant Corporate","","95.00","11.98","1,200","BSE SME",""
"Accuracy Shipping Limited IPO","Jun 11, 2018","Jun 14, 2018","Jun 22, 2018","Pantomath Capital Advisors","","84.00","35.76","1,600","NSE SME",""
"Priti International Limited IPO","Jun 11, 2018","Jun 13, 2018","Jun 21, 2018","Pantomath Capital Advisors","","75.00","5.26","1,600","NSE SME",""
"ShreeOswal Seeds & Chemicals Limited IPO","Jun 07, 2018","Jun 12, 2018","Jun 20, 2018","Pantomath Capital Advisors","","26.00","11.90","4,000","NSE SME",""
"Sonam Clock Limited IPO","Jun 01, 2018","Jun 06, 2018","","Hem Securities","","36.00","10.11","3,000","NSE SME",""
"Waa Solar Limited IPO","May 31, 2018","Jun 04, 2018","","Guiness Corporate Advisors","","161.00","28.18","800","BSE SME",""
"Palm Jewels Limited IPO","May 25, 2018","Jun 04, 2018","Jun 12, 2018","First Overseas Capital","","30.00","8.90","4,000","BSE SME",""
"Affordable Robotic & Automation Limited IPO","May 24, 2018","May 28, 2018","","Pantomath Capital Advisors","","85.00","31.17","1,600","BSE SME",""
"Debock Sales and Marketing Ltd IPO","May 24, 2018","May 28, 2018","","Gretex Corporate Services","","20.00","4.44","6,000","NSE SME",""
"Sorich Foils Limited IPO","May 24, 2018","May 25, 2018","","Saffron Capital Advisors","","16.00","4.00","8,000","NSE SME",""
"Nakoda Group of Industries Limited IPO","May 23, 2018","May 29, 2018","","Pantomath Capital Advisors","","35.00","6.48","4,000","BSE SME",""
"Latteys Industries Limited IPO","May 23, 2018","May 28, 2018","","Pantomath Capital Advisors","","66.00","8.06","2,000","NSE SME",""
"Arihant Institute Limited IPO","May 23, 2018","May 28, 2018","","Monarch Networth Capital","","30.00","7.50","4,000","BSE SME",""
"Shree Vasu Logistics Limited IPO","May 23, 2018","May 25, 2018","Jun 04, 2018","Pantomath Capital Advisors","","45.00","9.29","3,000","NSE SME",""
"Suumaya Lifestyle Limited IPO","May 22, 2018","May 25, 2018","","Gretex Corporate Services","","18.00","3.40","8,000","NSE SME",""
"Sirca Paints India Limited IPO","May 16, 2018","May 22, 2018","","Navigant Corporate","","160.00","77.92","800","NSE SME",""
"Innovators Facade Systems Limited IPO","May 14, 2018","May 16, 2018","","Pantomath Capital Advisors","","72.00","40.75","1,600","BSE SME",""
"Megastar Foods Limited IPO","May 14, 2018","May 16, 2018","","Swastika Investmart","","30.00","8.04","4,000","BSE SME",""
"Five Core Electronics Limited IPO","May 09, 2018","May 11, 2018","","Indian Overseas Bank
Sarthi Capital Advisors","","140.00","46.66","1,000","NSE SME",""
"U. H. Zaveri Limited IPO","May 08, 2018","May 14, 2018","","First Overseas Capital","","36.00","7.99","3,000","BSE SME",""
"Milestone Furniture Limited IPO","May 07, 2018","May 11, 2018","May 21, 2018","Monarch Networth Capital","","45.00","14.84","3,000","BSE SME",""
"E2E Networks Limited IPO","May 03, 2018","May 07, 2018","","Holani Consultants","","57.00","21.99","2,000","NSE SME",""
"Indo US Bio-Tech Limited IPO","Apr 30, 2018","May 03, 2018","","Swastika Investmart","","51.00","7.29","2,000","BSE SME",""
"Akshar Spintex Limited IPO","Apr 27, 2018","May 03, 2018","","Pantomath Capital Advisors","","40.00","26.99","3,000","BSE SME",""
"Godha Cabcon & Insulation Limited IPO","Apr 27, 2018","May 03, 2018","","Mark Corporate Advisors","","33.00","9.90","4,000","NSE SME",""
"SoftTech Engineers Limited IPO","Apr 27, 2018","May 03, 2018","","Pantomath Capital Advisors
Sidbi","","80.00","22.81","1,600","NSE SME",""
"Dhruv Consultancy Services Limited IPO","Apr 27, 2018","May 02, 2018","","Hem Securities","","54.00","23.19","2,000","BSE SME",""
"Dr Lalchandani Labs Limited IPO","Apr 25, 2018","Apr 27, 2018","","Navigant Corporate","","30.00","4.20","4,000","BSE SME",""
"Aakash Exploration Services Limited IPO","Apr 17, 2018","Apr 19, 2018","Apr 27, 2018","Monarch Networth Capital","","56.00","10.08","2,000","NSE SME",""
"Mahickra Chemicals Limited IPO","Apr 16, 2018","Apr 18, 2018","Apr 26, 2018","Pantomath Capital Advisors","","25.00","5.25","6,000","NSE SME",""
"Bombay Super Hybrid Seeds Limited IPO","Apr 12, 2018","Apr 17, 2018","Apr 25, 2018","Monarch Networth Capital","","60.00","10.39","2,000","NSE SME",""
"Garv Industries Limited IPO","Apr 12, 2018","Apr 17, 2018","Apr 25, 2018","Aryaman Financial Services","","10.00","3.20","10,000","BSE SME",""
"Power & Instrumentation (Gujarat) Limited IPO","Apr 11, 2018","Apr 13, 2018","","Navigant Corporate","","33.00","6.15","4,000","NSE SME",""
"Narmada Agrobase Limited IPO","Mar 28, 2018","Apr 11, 2018","","Corporate Capital","","32.00","7.48","4,000","NSE SME",""
"S.S. Infrastructure Development Consultants Limited IPO","Mar 28, 2018","Apr 05, 2018","Apr 12, 2018","Pantomath Capital Advisors","","40.00","17.11","3,000","NSE SME",""
"MMP Industries Limited IPO","Mar 28, 2018","Apr 04, 2018","Apr 12, 2018","Guiness Corporate Advisors","","188.00","84.60","600","NSE SME",""
"Soni Soya Products Limited IPO","Mar 28, 2018","Apr 04, 2018","Apr 12, 2018","Pantomath Capital Advisors","","25.00","4.50","6,000","NSE SME",""
"Vera Synthetic Limited IPO","Mar 28, 2018","Apr 04, 2018","","Pantomath Capital Advisors","","40.00","5.34","3,000","NSE SME",""
"AVG Logistics Limited IPO","Mar 28, 2018","Apr 03, 2018","","Systematix Corporate","","107.00","33.06","1,200","NSE SME",""
"Penta Gold Limited IPO","Mar 23, 2018","Mar 27, 2018","","Inventure Merchant Banker","","37.00","13.32","3,000","NSE SME",""
"Taylormade Renewables Limited IPO","Mar 22, 2018","Mar 27, 2018","","Guiness Corporate Advisors","","35.00","11.34","4,000","BSE SME",""
"Orissa Bengal Carrier Limited IPO","Mar 22, 2018","Mar 26, 2018","","Guiness Corporate Advisors","","30.00","16.69","4,000","BSE SME",""
"Kapston Facilities Management Ltd IPO","Mar 21, 2018","Mar 23, 2018","","Ckp Financial","","92.00","21.20","1,200","NSE SME",""
"Continental Seeds and Chemicals Ltd IPO","Mar 21, 2018","Mar 23, 2018","","Navigant Corporate","","26.00","4.21","4,000","NSE SME",""
"Benara Bearings & Pistons Ltd IPO","Mar 20, 2018","Mar 22, 2018","","Pantomath Capital Advisors","","63.00","33.49","2,000","BSE SME",""
"Yasho Industries Limited IPO","Mar 19, 2018","Mar 21, 2018","","Aryaman Financial Services","","100.00","28.99","1,200","BSE SME",""
"Giriraj Civil Developers Ltd IPO","Mar 19, 2018","Mar 21, 2018","","Aryaman Financial Services","","100.00","9.00","1,200","NSE SME",""
"Mittal Life Style Ltd IPO","Mar 19, 2018","Mar 21, 2018","","Sarthi Capital Advisors","","21.00","4.41","6,000","NSE SME",""
"Uravi T and Wedge Lamps Ltd IPO","Mar 16, 2018","Mar 20, 2018","","Aryaman Financial Services","","100.00","15.00","1,200","NSE SME",""
"Advitiya Trade India Limited IPO","Mar 14, 2018","Mar 16, 2018","","Aryaman Financial Services","","15.00","4.31","8,000","BSE SME",""
"Ridings Consulting Engineers India Ltd IPO","Mar 14, 2018","Mar 16, 2018","","Swastika Investmart","","18.00","6.22","8,000","BSE SME",""
"Tara Chand Logistic Solutions Ltd IPO","Mar 13, 2018","Mar 15, 2018","","Hem Securities","","55.00","20.46","2,000","NSE SME",""
"Lex Nimble Solutions Ltd IPO","Mar 12, 2018","Mar 23, 2018","","Quintessence Enterprises","","57.00","6.34","2,000","BSE SME",""
"Active Clothing Co Ltd IPO","Mar 12, 2018","Mar 16, 2018","","Ajcon Global Services","","65.00","26.56","2,000","BSE SME",""
"Marvel Decor Limited IPO","Mar 12, 2018","Mar 15, 2018","","Sarthi Capital Advisors","","57.00","26.26","2,000","NSE SME",""
"Macpower CNC Machines Ltd IPO","Mar 12, 2018","Mar 14, 2018","","Pantomath Capital Advisors","","140.00","36.61","1,000","NSE SME",""
"Shreeshay Engineers Ltd IPO","Mar 09, 2018","Mar 13, 2018","","Aryaman Financial Services","","13.00","5.40","8,000","BSE SME",""
"Inflame Appliances Ltd IPO","Mar 06, 2018","Mar 08, 2018","","Swastika Investmart","","54.00","6.48","2,000","BSE SME",""
"Uniinfo Telecom Services Ltd IPO","Mar 05, 2018","Mar 07, 2018","","Systematix Corporate","","55.00","20.01","2,000","NSE SME",""
"East India Securities Ltd IPO","Mar 05, 2018","Mar 07, 2018","","Finshore","","920.00","92.74","160","BSE SME",""
"Sarveshwar Foods Ltd IPO","Mar 05, 2018","Mar 07, 2018","","Asit C. Mehta
Indian Overseas Bank
Keynote
Sidbi","","85.00","54.97","1,600","NSE SME",""
"Hindcon Chemicals Limited IPO","Feb 26, 2018","Feb 28, 2018","","Hem Securities","","28.00","7.73","4,000","NSE SME",""
"CKP Leisure Limited IPO","Feb 21, 2018","Feb 23, 2018","Mar 06, 2018","Aryaman Financial Services","","30.00","11.54","4,000","NSE SME",""
"Angel Fibers Ltd IPO","Feb 20, 2018","Feb 23, 2018","","Guiness Corporate Advisors","","27.00","18.22","4,000","BSE SME",""
"Arvee Laboratories (India) Limited IPO","Feb 09, 2018","Feb 14, 2018","","Sarthi Capital Advisors","","61.00","8.91","2,000","NSE SME",""
"Bhatia Communications & Retail (India) Limited IPO","Feb 08, 2018","Feb 12, 2018","","Guiness Corporate Advisors","","150.00","24.75","1,000","BSE SME",""
"Tasty Dairy Specialities Ltd IPO","Feb 07, 2018","Feb 12, 2018","","Mark Corporate Advisors","","45.00","24.44","3,000","BSE SME",""
"South West Pinnacle Exploration Ltd IPO","Feb 06, 2018","Feb 08, 2018","Feb 19, 2018","Pantomath Capital Advisors","","78.00","35.86","1,600","NSE SME",""
"Banka BioLoo Limited IPO","Feb 05, 2018","Feb 16, 2018","Feb 27, 2018","Aryaman Financial Services","","115.00","12.63","1,200","NSE SME",""
"Sintercom India Limited IPO","Feb 05, 2018","Feb 07, 2018","","Pantomath Capital Advisors","","65.00","42.55","2,000","NSE SME",""
"Mohini Health & Hygiene Ltd IPO","Feb 05, 2018","Feb 07, 2018","Feb 16, 2018","Pantomath Capital Advisors
Sidbi","","42.00","20.71","3,000","NSE SME",""
"Kenvi Jewels Limited IPO","Feb 02, 2018","Feb 07, 2018","Feb 16, 2018","First Overseas Capital","","36.00","6.70","3,000","BSE SME",""
"Lorenzini Apparels Limited IPO","Jan 31, 2018","Feb 06, 2018","Feb 15, 2018","Fedex Securities","","10.00","4.47","10,000","BSE SME",""
"Focus Suits Solutions & Services Ltd IPO","Jan 30, 2018","Feb 01, 2018","","Pantomath Capital Advisors","","18.00","6.49","8,000","BSE SME",""
"A and M Jumbo Bags Limited IPO","Jan 29, 2018","Feb 02, 2018","Feb 12, 2018","Pantomath Capital Advisors","","65.00","4.00","2,000","NSE SME",""
"Medico Remedies Ltd IPO","Jan 29, 2018","Jan 31, 2018","","Aryaman Financial Services","","100.00","10.99","1,200","BSE SME",""
"Gujarat Hy-Spin Limited IPO","Jan 25, 2018","Jan 31, 2018","","Pantomath Capital Advisors","","10.00","4.45","10,000","BSE SME",""
"Gautam Gems Limited IPO","Jan 24, 2018","Jan 30, 2018","","First Overseas Capital","","36.00","7.56","3,000","BSE SME",""
"Vasa Retail and Overseas Ltd IPO","Jan 24, 2018","Jan 29, 2018","","Hem Securities","","30.00","4.80","4,000","NSE SME",""
"Shree Ram Protiens Ltd IPO","Jan 23, 2018","Jan 25, 2018","","Pantomath Capital Advisors","","31.00","19.90","4,000","NSE SME",""
"Ashoka Metcast Limited IPO","Jan 23, 2018","Jan 25, 2018","","Aryaman Financial Services","","20.00","12.00","6,000","BSE SME",""
"Solex Energy Limited IPO","Jan 22, 2018","Jan 25, 2018","","Swastika Investmart","","52.00","7.18","2,000","NSE SME",""
"CRP Risk Management Ltd IPO","Jan 18, 2018","Jan 22, 2018","","Inventure Merchant Banker","","60.00","30.82","2,000","BSE SME",""
"S K S Textiles Limited IPO","Jan 09, 2018","Jan 11, 2018","","Aryaman Financial Services","","150.00","13.32","1,000","NSE SME",""
"Silly Monks Entertainment Ltd IPO","Jan 05, 2018","Jan 10, 2018","","Aryaman Financial Services","","120.00","15.12","1,200","NSE SME",""
