"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Shivam Chemicals Limited IPO","Apr 23, 2024","Apr 25, 2024","Apr 30, 2024","Aryaman Financial Services","Shreni Shares","44.00","20.18","3,000","BSE SME",""
"Varyaa Creations Limited IPO","Apr 22, 2024","Apr 25, 2024","Apr 30, 2024","Inventure Merchant Banker","Svcm Securities","150.00","20.10","1,000","BSE SME",""
"Faalcon Concepts Limited IPO","Apr 19, 2024","Apr 23, 2024","Apr 26, 2024","Navigant Corporate","Alacrity Securities","62.00","12.09","2,000","BSE SME",""
"Ramdevbaba Solvent Limited IPO","Apr 15, 2024","Apr 18, 2024","Apr 23, 2024","Choice Capital Advisors","Choice Equity Broking","85.00","50.27","1,600","NSE SME",""
"Grill Splendour Services Limited IPO","Apr 15, 2024","Apr 18, 2024","Apr 23, 2024","Inventure Merchant Banker","Rikhav Securities","120.00","16.47","1,200","NSE SME",""
"Greenhitech Ventures Limited IPO","Apr 12, 2024","Apr 16, 2024","Apr 22, 2024","Beeline Capital","Spread X Securities","50.00","6.30","3,000","BSE SME",""
"DCG Cables & Wires Limited IPO","Apr 08, 2024","Apr 10, 2024","Apr 16, 2024","Interactive Financial","Nikunj Stock Brokers","100.00","49.99","1,200","NSE SME",""
"Teerth Gopicon Limited IPO","Apr 08, 2024","Apr 10, 2024","Apr 16, 2024","Interactive Financial","Giriraj Stock Broking","111.00","44.40","1,200","NSE SME",""
"Aluwind Architectural Limited IPO","Mar 28, 2024","Apr 04, 2024","Apr 09, 2024","Corpwis Advisors","Nnm Securities","45.00","29.70","3,000","NSE SME",""
"Creative Graphics Solutions India Limited IPO","Mar 28, 2024","Apr 04, 2024","Apr 09, 2024","Corporate Capital","Ss Corporate Securities","85.00","54.40","1,600","NSE SME",""
"Jay Kailash Namkeen Limited IPO","Mar 28, 2024","Apr 03, 2024","Apr 08, 2024","Expert Global Consultants","Rikhav Securities","73.00","11.93","1,600","BSE SME",""
"K2 Infragen Limited IPO","Mar 28, 2024","Apr 03, 2024","Apr 08, 2024","Expert Global Consultants","Rikhav Securities","119.00","40.54","1,200","NSE SME",""
"Yash Optics & Lens Limited IPO","Mar 27, 2024","Apr 03, 2024","Apr 08, 2024","Shreni Shares","Rikhav Securities","81.00","53.15","1,600","NSE SME",""
"Radiowalla Network Limited IPO","Mar 27, 2024","Apr 02, 2024","Apr 05, 2024","Narnolia Financial","Ss Corporate Securities
Prabhat Financial Services","76.00","14.25","1,600","NSE SME",""
"TAC Infosec Limited IPO","Mar 27, 2024","Apr 02, 2024","Apr 05, 2024","Beeline Capital","Spread X Securities","106.00","29.99","1,200","NSE SME",""
"Trust Fintech Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 04, 2024","Corporate Capital","Ss Corporate Securities","101.00","63.45","1,200","NSE SME",""
"Vruddhi Engineering Works Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 03, 2024","Fedex Securities","Rikhav Securities","70.00","4.76","2,000","BSE SME",""
"Blue Pebble Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 03, 2024","Hem Securities","Hem Finlease","168.00","18.14","800","NSE SME",""
"Aspire & Innovative Advertising Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 03, 2024","Hem Securities","Hem Finlease","54.00","21.97","2,000","NSE SME",""
"GConnect Logitech and Supply Chain Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 03, 2024","Fedex Securities","Aftertrade Broking","40.00","5.60","3,000","BSE SME",""
"Naman In-Store (India) Limited IPO","Mar 22, 2024","Mar 27, 2024","Apr 02, 2024","GYR Capital Advisors","Giriraj Stock Broking","89.00","25.35","1,600","NSE SME",""
"Vishwas Agri Seeds Limited IPO","Mar 21, 2024","Mar 26, 2024","Apr 01, 2024","Isk Advisors","Sunflower Broking","86.00","25.80","1,600","NSE SME",""
"Omfurn India Limited FPO","Mar 20, 2024","Mar 22, 2024","Mar 28, 2024","Gretex Corporate Services","Gretex Share Broking","75.00","27.00","2,400","NSE SME",""
"Chatha Foods Limited IPO","Mar 19, 2024","Mar 21, 2024","Mar 27, 2024","Indorient Financial","Alacrity Securities","56.00","34.00","2,000","BSE SME",""
"KP Green Engineering Limited IPO","Mar 15, 2024","Mar 19, 2024","Mar 22, 2024","Beeline Capital","Spread X Securities","144.00","189.50","1,000","BSE SME",""
"Enfuse Solutions Limited IPO","Mar 15, 2024","Mar 19, 2024","Mar 22, 2024","Hem Securities","Hem Finlease","96.00","22.44","1,200","NSE SME",""
"Enser Communications Limited IPO","Mar 15, 2024","Mar 19, 2024","Mar 22, 2024","Fast Track Finsec","B.N. Rathi Securities","70.00","16.17","2,000","NSE SME",""
"AVP Infracon Limited IPO","Mar 13, 2024","Mar 15, 2024","Mar 20, 2024","Share India Capital Services","Share India Securities","75.00","52.34","1,600","NSE SME",""
"Signoria Creation Limited IPO","Mar 12, 2024","Mar 14, 2024","Mar 19, 2024","Holani Consultants","Holani Consultants","65.00","9.28","2,000","NSE SME",""
"Royal Sense Limited IPO","Mar 12, 2024","Mar 14, 2024","Mar 19, 2024","Expert Global Consultants","Rikhav Securities","68.00","9.86","2,000","BSE SME",""
"Pratham EPC Projects Limited IPO","Mar 11, 2024","Mar 13, 2024","Mar 18, 2024","Beeline Capital","Spread X Securities","75.00","36.00","1,600","NSE SME",""
"Pune E-Stock Broking Limited IPO","Mar 07, 2024","Mar 12, 2024","Mar 15, 2024","Share India Capital Services","Share India Securities","83.00","38.23","1,600","BSE SME",""
"Shree Karni Fabcom Limited IPO","Mar 06, 2024","Mar 11, 2024","Mar 14, 2024","Horizon Management","MLB Stock Broking","227.00","42.49","600","NSE SME",""
"Koura Fine Diamond Jewelry Limited IPO","Mar 06, 2024","Mar 11, 2024","Mar 14, 2024","GYR Capital Advisors","Giriraj Stock Broking","55.00","5.50","2,000","BSE SME",""
"Sona Machinery Limited IPO","Mar 05, 2024","Mar 07, 2024","Mar 13, 2024","Hem Securities","Hem Finlease","143.00","51.82","1,000","NSE SME",""
"V R Infraspace Limited IPO","Mar 04, 2024","Mar 06, 2024","Mar 12, 2024","Beeline Capital","Spread X Securities","85.00","20.40","1,600","NSE SME",""
"M.V.K. Agro Food Product Ltd IPO","Feb 29, 2024","Mar 04, 2024","Mar 07, 2024","Horizon Management","Nikunj Stock Brokers","120.00","65.88","1,200","NSE SME",""
"Purv Flexipack Limited IPO","Feb 27, 2024","Feb 29, 2024","Mar 05, 2024","Holani Consultants","Holani Consultants","71.00","40.21","1,600","NSE SME",""
"Owais Metal and Mineral Processing Limited IPO","Feb 26, 2024","Feb 28, 2024","Mar 04, 2024","Gretex Corporate Services","Gretex Share Broking","87.00","42.69","1,600","NSE SME",""
"Sadhav Shipping Limited IPO","Feb 23, 2024","Feb 27, 2024","Mar 01, 2024","Isk Advisors","Sunflower Broking","95.00","38.18","1,200","NSE SME",""
"Deem Roll Tech Limited IPO","Feb 20, 2024","Feb 22, 2024","Feb 27, 2024","Fedex Securities","Ss Corporate Securities","129.00","29.26","1,000","NSE SME",""
"Zenith Drugs Limited IPO","Feb 19, 2024","Feb 22, 2024","Feb 27, 2024","Gretex Corporate Services","Gretex Share Broking","79.00","40.68","1,600","NSE SME",""
"Esconet Technologies Limited IPO","Feb 16, 2024","Feb 20, 2024","Feb 23, 2024","Corporate Capital","Ss Corporate Securities","84.00","28.22","1,600","NSE SME",""
"Kalahridhaan Trendz Limited IPO","Feb 15, 2024","Feb 20, 2024","Feb 23, 2024","Interactive Financial","Sunflower Broking","45.00","22.49","3,000","NSE SME",""
"Thaai Casting Ltd IPO","Feb 15, 2024","Feb 20, 2024","Feb 23, 2024","GYR Capital Advisors","Giriraj Stock Broking
Commodity Mandi","77.00","47.20","1,600","NSE SME",""
"Atmastco Limited IPO","Feb 15, 2024","Feb 20, 2024","Feb 23, 2024","Affinity Global","Asnani Stock Broker","77.00","56.25","1,600","NSE SME",""
"Interiors and More Limited IPO","Feb 15, 2024","Feb 20, 2024","Feb 23, 2024","Gretex Corporate Services","Gretex Share Broking","227.00","42.00","600","NSE SME",""
"Wise Travel India Limited IPO","Feb 12, 2024","Feb 14, 2024","Feb 19, 2024","Share India Capital Services","Share India Securities","147.00","94.68","1,000","NSE SME",""
"Polysil Irrigation Systems Limited IPO","Feb 08, 2024","Feb 13, 2024","Feb 16, 2024","Fedex Securities","Market-Hub Stock Broking","54.00","17.44","2,000","NSE SME",""
"Alpex Solar Limited IPO","Feb 08, 2024","Feb 12, 2024","Feb 15, 2024","Corporate Capital","Ss Corporate Securities","115.00","74.52","1,200","NSE SME",""
"Rudra Gas Enterprise Limited IPO","Feb 08, 2024","Feb 12, 2024","Feb 15, 2024","Beeline Capital","Spread X Securities","63.00","14.16","2,000","BSE SME",""
"Italian Edibles Limited IPO","Feb 02, 2024","Feb 07, 2024","Feb 12, 2024","First Overseas Capital","Nikunj Stock Brokers","68.00","26.66","2,000","NSE SME",""
"Gabriel Pet Straps Limited IPO","Jan 31, 2024","Feb 02, 2024","Feb 07, 2024","Shreni Shares","Shreni Shares","101.00","8.06","1,200","BSE SME",""
"Baweja Studios Limited IPO","Jan 29, 2024","Feb 01, 2024","Feb 06, 2024","Fedex Securities","Nnm Securities","180.00","97.20","800","NSE SME",""
"Megatherm Induction Limited IPO","Jan 29, 2024","Jan 31, 2024","Feb 05, 2024","Hem Securities","Hem Finlease","108.00","53.91","1,200","NSE SME",""
"Harshdeep Hortico Limited IPO","Jan 29, 2024","Jan 31, 2024","Feb 05, 2024","Hem Securities","Hem Finlease","45.00","19.09","3,000","BSE SME",""
"Mayank Cattle Food Limited IPO","Jan 29, 2024","Jan 31, 2024","Feb 05, 2024","Finshore","Rikhav Securities","108.00","19.44","1,200","BSE SME",""
"Fonebox Retail Limited IPO","Jan 25, 2024","Jan 30, 2024","Feb 02, 2024","Beeline Capital","Spread X Securities","70.00","20.37","2,000","NSE SME",""
"DelaPlex Limited IPO","Jan 25, 2024","Jan 30, 2024","Feb 02, 2024","Shreni Shares","Shreni Shares","192.00","46.08","600","NSE SME",""
"Docmode Health Technologies Limited IPO","Jan 25, 2024","Jan 30, 2024","Feb 02, 2024","Fedex Securities","Rikhav Securities","79.00","6.71","1,600","NSE SME",""
"Brisk Technovision Limited IPO","Jan 23, 2024","Jan 25, 2024","Jan 31, 2024","Sun Capital Advisory","Nnm Securities","156.00","12.48","800","BSE SME",""
"Addictive Learning Technology Limited IPO","Jan 19, 2024","Jan 24, 2024","Jan 30, 2024","Narnolia Financial","Ss Corporate Securities
Prabhat Financial Services","140.00","60.16","1,000","NSE SME",""
"Konstelec Engineers Limited IPO","Jan 19, 2024","Jan 24, 2024","Jan 30, 2024","Beeline Capital","Spread X Securities","70.00","28.70","2,000","NSE SME",""
"Euphoria Infotech India Limited IPO","Jan 19, 2024","Jan 24, 2024","Jan 30, 2024","Khandwala Securities","Giriraj Stock Broking","100.00","9.60","1,200","BSE SME",""
"Qualitek Labs Limited IPO","Jan 18, 2024","Jan 23, 2024","Jan 29, 2024","Oneview Corporate Advisors","Nikunj Stock Brokers","100.00","19.64","1,200","BSE SME",""
"Maxposure Limited IPO","Jan 15, 2024","Jan 17, 2024","Jan 23, 2024","GYR Capital Advisors","Giriraj Stock Broking","33.00","20.26","4,000","NSE SME",""
"Shree Marutinandan Tubes Limited IPO","Jan 12, 2024","Jan 16, 2024","Jan 19, 2024","Swastika Investmart","Swastika Investmart","143.00","14.30","1,000","BSE SME",""
"New Swan Multitech Limited IPO","Jan 11, 2024","Jan 15, 2024","Jan 18, 2024","Hem Securities
Share India Capital Services","Hem Finlease","66.00","33.11","2,000","BSE SME",""
"Australian Premium Solar (India) Limited IPO","Jan 11, 2024","Jan 15, 2024","Jan 18, 2024","Beeline Capital","Spread X Securities","54.00","28.08","2,000","NSE SME",""
"IBL Finance Limited IPO","Jan 09, 2024","Jan 11, 2024","Jan 16, 2024","Fedex Securities","Market-Hub Stock Broking","51.00","33.41","2,000","NSE SME",""
