"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"GEM Enviro Management Limited IPO","Jun 19, 2024","Jun 21, 2024","Jun 26, 2024","Share India Capital Services
Fintellectual Corporate Advisors","Share India Securities","","","","BSE SME",""
"GP Eco Solutions India Limited IPO","Jun 14, 2024","Jun 19, 2024","Jun 24, 2024","Corporate Capital","Ss Corporate Securities","90.00 to 94.00","30.79","1,200","NSE SME",""
"United Cotfab Limited IPO","Jun 13, 2024","Jun 19, 2024","Jun 24, 2024","Beeline Capital","Spread X Securities","70.00","36.29","2,000","BSE SME",""
"Sattrix Information Security Limited IPO","Jun 05, 2024","Jun 07, 2024","Jun 12, 2024","Isk Advisors","Sunflower Broking","121.00","21.78","1,000","BSE SME",""
"Magenta Lifecare Limited IPO","Jun 05, 2024","Jun 07, 2024","Jun 12, 2024","Fedex Securities","Sunflower Broking","35.00","7.00","4,000","BSE SME",""
"3C IT Solutions & Telecoms (India) Limited IPO","Jun 04, 2024","Jun 07, 2024","Jun 12, 2024","Kreo Capital","Shreni Shares","52.00","11.44","2,000","BSE SME",""
"TBI Corn Limited IPO","May 31, 2024","Jun 04, 2024","Jun 07, 2024","Swastika Investmart
Ekadrisht Capital","Ss Corporate Securities","94.00","44.94","1,200","NSE SME",""
"Aimtron Electronics Limited IPO","May 30, 2024","Jun 03, 2024","Jun 06, 2024","Hem Securities","Hem Finlease","161.00","87.02","800","NSE SME",""
"Associated Coaters Limited IPO","May 30, 2024","Jun 03, 2024","Jun 06, 2024","Gretex Corporate Services","Gretex Share Broking","121.00","5.11","1,000","BSE SME",""
"Ztech India Limited IPO","May 29, 2024","May 31, 2024","Jun 05, 2024","Narnolia Financial","Nvs Brokerage","110.00","37.30","1,200","NSE SME",""
"Beacon Trusteeship Limited IPO","May 28, 2024","May 30, 2024","Jun 04, 2024","Beeline Capital","Spread X Securities","60.00","32.52","2,000","NSE SME",""
"Vilas Transcore Limited IPO","May 27, 2024","May 29, 2024","Jun 03, 2024","Hem Securities","Hem Finlease","147.00","95.26","1,000","NSE SME",""
"GSM Foils Limited IPO","May 24, 2024","May 28, 2024","May 31, 2024","Shreni Shares","Shreni Shares","32.00","11.01","4,000","NSE SME",""
"Rulka Electricals Limited IPO","May 16, 2024","May 21, 2024","May 24, 2024","Beeline Capital","Sunflower Broking","235.00","26.40","600","NSE SME",""
"HOAC Foods India Limited IPO","May 16, 2024","May 21, 2024","May 24, 2024","GYR Capital Advisors","Giriraj Stock Broking","48.00","5.54","3,000","NSE SME",""
"Quest Laboratories Limited IPO","May 15, 2024","May 17, 2024","May 23, 2024","Shreni Shares","Rikhav Securities","97.00","43.16","1,200","NSE SME",""
"Indian Emulsifier Limited IPO","May 13, 2024","May 16, 2024","May 22, 2024","Ekadrisht Capital","Ss Corporate Securities","132.00","42.39","1,000","NSE SME",""
"Mandeep Auto Industries Limited IPO","May 13, 2024","May 15, 2024","May 21, 2024","Jawa Capital","Aftertrade Broking","67.00","25.25","2,000","NSE SME",""
"Veritaas Advertising Limited IPO","May 13, 2024","May 15, 2024","May 21, 2024","Horizon Management","Horizon Financial Consultants","114.00","8.48","1,200","NSE SME",""
"ABS Marine Services Limited IPO","May 10, 2024","May 15, 2024","May 21, 2024","GYR Capital Advisors","Giriraj Stock Broking
Commodity Mandi","147.00","96.29","1,000","NSE SME",""
"Premier Roadlines Limited IPO","May 10, 2024","May 14, 2024","May 17, 2024","Hem Securities","Hem Finlease","67.00","40.36","2,000","NSE SME",""
"Aztec Fluids & Machinery Limited IPO","May 10, 2024","May 14, 2024","May 17, 2024","Hem Securities","Hem Finlease","67.00","24.12","2,000","BSE SME",""
"Piotex Industries Limited IPO","May 10, 2024","May 14, 2024","May 17, 2024","Beeline Capital","Spread X Securities","94.00","14.47","1,200","BSE SME",""
"Energy-Mission Machineries (India) Limited IPO","May 09, 2024","May 13, 2024","May 16, 2024","Hem Securities","Hem Finlease","138.00","41.15","1,000","NSE SME",""
"TGIF Agribusiness Limited IPO","May 08, 2024","May 10, 2024","May 15, 2024","Hem Securities","Hem Finlease","93.00","6.39","1,200","BSE SME",""
"Silkflex Polymers (India) Limited IPO","May 07, 2024","May 10, 2024","May 15, 2024","Shreni Shares","Shreni Shares","52.00","18.11","2,000","NSE SME",""
"Finelistings Technologies Limited IPO","May 07, 2024","May 09, 2024","May 14, 2024","Fedex Securities","Rikhav Securities","123.00","13.53","1,000","BSE SME",""
"Winsol Engineers Limited IPO","May 06, 2024","May 09, 2024","May 14, 2024","Beeline Capital","Spread X Securities","75.00","23.36","1,600","NSE SME",""
"Refractory Shapes Limited IPO","May 06, 2024","May 09, 2024","May 14, 2024","Shreni Shares","Shreni Shares","31.00","18.60","4,000","NSE SME",""
"Slone Infosystems Limited IPO","May 03, 2024","May 07, 2024","May 10, 2024","Jawa Capital","Aftertrade Broking","79.00","11.06","1,600","NSE SME",""
"Amkay Products Limited IPO","Apr 30, 2024","May 03, 2024","May 08, 2024","Hem Securities","Hem Finlease","55.00","12.61","2,000","BSE SME",""
"Sai Swami Metals & Alloys Limited IPO","Apr 30, 2024","May 03, 2024","May 08, 2024","Swastika Investmart","Sunflower Broking","60.00","15.00","2,000","BSE SME",""
"Storage Technologies and Automation Ltd IPO","Apr 30, 2024","May 03, 2024","May 08, 2024","Oneview Corporate Advisors","Nikunj Stock Brokers","78.00","29.95","1,600","BSE SME",""
"Emmforce Autotech Limited IPO","Apr 23, 2024","Apr 25, 2024","Apr 30, 2024","Beeline Capital","Spread X Securities","98.00","53.90","1,200","BSE SME",""
