"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Mafia Trends Limited IPO","Sep 22, 2022","Sep 27, 2022","Oct 06, 2022","GYR Capital Advisors","","28.00","3.60","4,000","BSE SME",""
"Containe Technologies Ltd IPO","Sep 20, 2022","Sep 22, 2022","Sep 30, 2022","Finshore","","15.00","2.62","8,000","BSE SME",""
"Varanium Cloud Limited IPO","Sep 16, 2022","Sep 20, 2022","Sep 27, 2022","First Overseas Capital","","122.00","36.60","1,000","NSE SME",""
"Maks Energy Solutions India Ltd IPO","Sep 16, 2022","Sep 20, 2022","Sep 28, 2022","Sun Capital Advisory","","20.00","4.00","6,000","NSE SME",""
"Kandarp Digi Smart BPO Ltd IPO","Sep 16, 2022","Sep 20, 2022","Sep 28, 2022","Beeline Capital","","30.00","8.10","4,000","NSE SME",""
"Annapurna Swadisht Limited IPO","Sep 15, 2022","Sep 19, 2022","Sep 27, 2022","Corporate Capital","Ss Corporate Securities","70.00","30.25","2,000","NSE SME",""
"Tapi Fruit Processing Ltd IPO","Sep 12, 2022","Sep 14, 2022","Sep 22, 2022","Fedex Securities","","48.00","5.21","3,000","NSE SME",""
"Ishan International Limited IPO","Sep 09, 2022","Sep 14, 2022","Sep 22, 2022","First Overseas Capital","","80.00","18.24","1,600","NSE SME",""
"Sabar Flex India Limited IPO","Sep 08, 2022","Sep 13, 2022","Sep 21, 2022","GYR Capital Advisors","","11.00","4.48","10,000","NSE SME",""
"Mega Flex Plastics Limited IPO","Sep 06, 2022","Sep 09, 2022","Sep 19, 2022","Finshore","","40.00","11.40","3,000","NSE SME",""
"Shantidoot Infra Services Limited IPO","Sep 06, 2022","Sep 09, 2022","Sep 19, 2022","Gretex Corporate Services","","81.00","4.02","1,600","BSE SME",""
"Viviana Power Tech Limited IPO","Sep 05, 2022","Sep 08, 2022","Sep 16, 2022","Beeline Capital","","55.00","8.80","2,000","NSE SME",""
"Virtuoso Optoelectronics Limited IPO","Sep 02, 2022","Sep 07, 2022","Sep 15, 2022","Fedex Securities","","56.00","30.24","2,000","BSE SME",""
"EP Biocomposites Limited IPO","Aug 29, 2022","Sep 05, 2022","Sep 13, 2022","Aryaman Financial Services","","126.00","6.35","1,000","BSE SME",""
"Jay Jalaram Technologies Ltd IPO","Aug 26, 2022","Aug 30, 2022","Sep 08, 2022","Beeline Capital","","36.00","10.80","3,000","NSE SME",""
"JFL Life Sciences Limited IPO","Aug 25, 2022","Aug 30, 2022","Sep 08, 2022","GYR Capital Advisors","","61.00","18.17","2,000","NSE SME",""
"Ameya Precision Engineers Ltd IPO","Aug 25, 2022","Aug 30, 2022","Sep 08, 2022","Shreni Shares","","34.00","7.14","4,000","NSE SME",""
"Dipna Pharmachem Limited IPO","Aug 25, 2022","Aug 30, 2022","","Interactive Financial","","38.00","15.21","3,000","BSE SME",""
"Rhetan TMT Limited IPO","Aug 22, 2022","Aug 25, 2022","Sep 05, 2022","Aryaman Financial Services","","70.00","56.00","2,000","BSE SME",""
"Naturo Indiabull Limited IPO","Aug 22, 2022","Aug 24, 2022","Sep 02, 2022","Finshore","","30.00","10.92","4,000","BSE SME",""
"Olatech Solutions Limited IPO","Aug 12, 2022","Aug 19, 2022","Aug 29, 2022","Shreni Shares","","27.00","1.89","4,000","BSE SME",""
"Veekayem Fashion and Apparels Limited IPO","Aug 05, 2022","Aug 11, 2022","Aug 22, 2022","GYR Capital Advisors","","28.00","4.44","4,000","NSE SME",""
"Upsurge Seeds of Agriculture Limited IPO","Jul 29, 2022","Aug 02, 2022","Aug 11, 2022","Finshore","","120.00","22.81","1,200","NSE SME",""
"Agni Green Power Limited IPO","Jul 20, 2022","Jul 22, 2022","Aug 01, 2022","Finshore","","10.00","5.25","10,000","NSE SME",""
"Healthy Life Agritec Limited IPO","Jul 13, 2022","Jul 18, 2022","Jul 26, 2022","Finshore","","10.00","10.00","10,000","BSE SME",""
"SKP Bearing Industries Limited IPO","Jun 30, 2022","Jul 05, 2022","Jul 13, 2022","Shreni Shares","","70.00","30.80","2,000","NSE SME",""
"Jayant Infratech Limited IPO","Jun 30, 2022","Jul 05, 2022","Jul 13, 2022","Gretex Corporate Services","","67.00","6.19","2,000","BSE SME",""
"B Right Realestate Limited IPO","Jun 30, 2022","Jul 05, 2022","Jul 13, 2022","Gretex Corporate Services","","153.00","44.36","800","BSE SME",""
"Mangalam Worldwide Limited IPO","Jun 30, 2022","Jul 04, 2022","Jul 11, 2022","Beeline Broking","","101.00","65.58","1,200","NSE SME",""
"Kesar India Limited IPO","Jun 30, 2022","Jul 04, 2022","Jul 12, 2022","Hem Securities
Fedex Securities","","170.00","15.82","800","BSE SME",""
"Veerkrupa Jewellers Limited IPO","Jun 29, 2022","Jul 08, 2022","Jul 18, 2022","First Overseas Capital","","27.00","8.10","4,000","BSE SME",""
"KCK Industries Limited IPO","Jun 27, 2022","Jun 30, 2022","Jul 08, 2022","Navigant Corporate","","30.00","4.50","4,000","NSE SME",""
"Sailani Tours N Travels Limited IPO","Jun 27, 2022","Jun 30, 2022","Jul 08, 2022","Gretex Corporate Services","","15.00","1.90","8,000","BSE SME",""
"Pearl Green Clubs and Resorts Limited IPO","Jun 27, 2022","Jun 29, 2022","Jul 07, 2022","Fast Track Finsec","","186.00","11.72","600","BSE SME",""
"Modi's Navnirman Limited IPO","Jun 23, 2022","Jun 28, 2022","Jul 06, 2022","Aryaman Financial Services","","180.00","22.68","800","BSE SME",""
"Goel Food Products Limited IPO","Jun 15, 2022","Jun 20, 2022","Jun 28, 2022","Gretex Corporate Services","","72.00","7.21","1,600","BSE SME",""
"Scarnose International Limited IPO","Jun 14, 2022","Jun 17, 2022","Jun 27, 2022","Finshore","","55.00","6.60","2,000","BSE SME",""
"Silver Pearl Hospitality & Luxury Spaces Ltd IPO","Jun 06, 2022","Jun 09, 2022","Jun 17, 2022","Inventure Merchant Banker","","18.00","9.00","8,000","BSE SME",""
"Fidel Softech Limited IPO","May 30, 2022","Jun 02, 2022","Jun 10, 2022","Shreni Shares","","37.00","13.51","3,000","NSE SME",""
"Globesecure Technologies Limited IPO","May 23, 2022","May 25, 2022","Jun 02, 2022","Fast Track Finsec","","29.00","10.13","4,000","NSE SME",""
"Rachana Infrastructure Limited IPO","May 20, 2022","Jun 02, 2022","","Interactive Financial","","135.00","76.28","1,000","NSE SME",""
"Sonu Infratech Limited IPO","Apr 29, 2022","May 05, 2022","","Swastika Investmart","","36.00","8.64","3,000","NSE SME",""
"Le Merite Exports Limited IPO","Apr 25, 2022","Apr 28, 2022","","Fedex Securities","","75.00","48.00","1,600","NSE SME",""
"Fone4 Communications (India) Limited IPO","Apr 25, 2022","Apr 27, 2022","May 06, 2022","Finshore","","10.00","6.80","10,000","BSE SME",""
"Nanavati Ventures Limited IPO","Apr 25, 2022","Apr 27, 2022","May 06, 2022","First Overseas Capital","","50.00","2.18","3,000","BSE SME",""
"Global Longlife Hospital and Research Limited IPO","Apr 21, 2022","Apr 25, 2022","","Interactive Financial","","140.00","49.00","1,000","BSE SME",""
"Shashwat Furnishing Solutions Limited IPO","Apr 20, 2022","Apr 25, 2022","","Beeline Broking","","45.00","2.51","3,000","BSE SME",""
"Eighty Jewellers Limited IPO","Mar 31, 2022","Apr 05, 2022","Apr 13, 2022","Hem Securities","","41.00","11.07","3,000","BSE SME",""
"Jeena Sikho Lifecare Limited IPO","Mar 30, 2022","Apr 07, 2022","","Fast Track Finsec","","150.00","55.50","1,000","NSE SME",""
"Sunrise Efficient Marketing Limited IPO","Mar 30, 2022","Apr 05, 2022","Apr 12, 2022","Fedex Securities","","121.00","16.70","1,000","BSE SME",""
"Dhyaani Tile And Marblez Limited IPO","Mar 30, 2022","Apr 04, 2022","Apr 12, 2022","GYR Capital Advisors","","51.00","2.45","2,000","BSE SME",""
"Krishna Defence and Allied Industries Limited IPO","Mar 25, 2022","Mar 29, 2022","Apr 06, 2022","Hem Securities","Hem Finlease","39.00","11.89","3,000","NSE SME",""
"P. E. Analytics Limited IPO","Mar 22, 2022","Mar 25, 2022","Apr 04, 2022","Sarthi Capital Advisors","","114.00","31.60","1,200","NSE SME",""
"Empyrean Cashews Limited IPO","Mar 21, 2022","Mar 23, 2022","Mar 31, 2022","Systematix Corporate","","37.00","19.41","3,000","NSE SME",""
"Evoq Remedies Limited IPO","Mar 17, 2022","Mar 22, 2022","Mar 30, 2022","Swastika Investmart","","27.00","9.72","4,000","BSE SME",""
"Achyut Healthcare Limited IPO","Mar 17, 2022","Mar 22, 2022","Mar 30, 2022","GYR Capital Advisors","","20.00","3.60","6,000","BSE SME",""
"KN Agri Resources Limited IPO","Mar 15, 2022","Mar 17, 2022","Mar 28, 2022","Hem Securities","Hem Finlease","75.00","49.38","1,600","NSE SME",""
"Swaraj Suiting Limited IPO","Mar 15, 2022","Mar 17, 2022","Mar 28, 2022","Finshore","","56.00","10.68","2,000","NSE SME",""
"Bhatia Colour Chem Limited IPO","Mar 14, 2022","Mar 16, 2022","","Interactive Financial","","80.00","40.00","1,600","BSE SME",""
"Cool Caps Industries Limited IPO","Mar 10, 2022","Mar 15, 2022","Mar 24, 2022","Holani Consultants","","38.00","11.63","3,000","NSE SME",""
"SP Refractories Limited IPO","Mar 09, 2022","Mar 11, 2022","Mar 22, 2022","Aryaman Financial Services","","90.00","4.92","1,600","NSE SME",""
"Shigan Quantum Technologies Limited IPO","Feb 28, 2022","Mar 03, 2022","Mar 11, 2022","Finshore","","50.00","22.70","3,000","NSE SME",""
"Ekennis Software Service Limited IPO","Feb 21, 2022","Feb 24, 2022","Mar 07, 2022","Shreni Shares","","72.00","2.88","1,600","BSE SME",""
"Vaidya Sane Ayurved Laboratories Limited IPO","Feb 10, 2022","Feb 15, 2022","Feb 23, 2022","First Overseas Capital","","73.00","20.23","1,600","NSE SME",""
"Richa Info Systems IPO","Feb 09, 2022","Feb 11, 2022","Feb 21, 2022","Swastika Investmart","","125.00","10.00","1,000","NSE SME",""
"Maruti Interior Products Limited IPO","Feb 03, 2022","Feb 08, 2022","Feb 16, 2022","Isk Advisors","","55.00","11.00","2,000","BSE SME",""
"Safa Systems & Technologies Limited IPO","Jan 28, 2022","Feb 01, 2022","Feb 09, 2022","Finshore","","10.00","4.00","10,000","BSE SME",""
"Quality RO Industries Limited IPO","Jan 27, 2022","Feb 01, 2022","Feb 09, 2022","Shreni Shares","","51.00","2.70","2,000","BSE SME",""
"Precision Metaliks Limited IPO","Jan 19, 2022","Jan 24, 2022","Feb 01, 2022","First Overseas Capital","","51.00","21.93","2,000","NSE SME",""
"Alkosign Limited IPO","Jan 18, 2022","Jan 21, 2022","Feb 01, 2022","Shreni Shares","","45.00","12.15","3,000","BSE SME",""
"Dj Mediaprint & Logistics Limited FPO","Jan 18, 2022","Jan 20, 2022","Jan 31, 2022","Finshore","","125.00","15.00","1,000","BSE SME",""
