"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"SVS Ventures Limited IPO","Dec 30, 2022","Jan 04, 2023","Jan 12, 2023","First Overseas Capital","Svcm Securities","20.00","11.24","6,000","BSE SME",""
"Rex Sealing and Packing Industries Limited IPO","Dec 30, 2022","Jan 04, 2023","Jan 12, 2023","Aryaman Financial Services","Aryaman Capital Markets","135.00","8.09","1,000","BSE SME",""
"Anlon Technology Solutions Limited IPO","Dec 29, 2022","Jan 02, 2023","Jan 10, 2023","GYR Capital Advisors","Rikhav Securities","100.00","15.00","1,200","NSE SME",""
"RBM Infracon Limited IPO","Dec 23, 2022","Dec 27, 2022","Jan 04, 2023","Beeline Capital","Sunflower Broking","36.00","8.37","3,000","NSE SME",""
"Homesfy Realty Limited IPO","Dec 21, 2022","Dec 23, 2022","Jan 02, 2023","Sarthi Capital Advisors","Rikhav Securities","197.00","15.86","600","NSE SME",""
"Moxsh Overseas Educon Limited IPO","Dec 21, 2022","Dec 23, 2022","Dec 30, 2022","Fedex Securities","Pure Broking","153.00","10.42","800","NSE SME",""
"Arihant Academy Limited IPO","Dec 16, 2022","Dec 21, 2022","Dec 29, 2022","Shreni Shares","Shreni Shares","90.00","14.72","1,600","NSE SME",""
"Uma Converter Limited IPO","Dec 15, 2022","Dec 21, 2022","Dec 29, 2022","GYR Capital Advisors","Smc Global Securities","33.00","18.41","4,000","NSE SME",""
"Dollex Agrotech Limited IPO","Dec 15, 2022","Dec 20, 2022","Dec 28, 2022","Expert Global Consultants","Nikunj Stock Brokers","35.00","24.39","4,000","NSE SME",""
"Droneacharya Aerial Innovations Limited IPO","Dec 13, 2022","Dec 15, 2022","Dec 23, 2022","Corporate Capital","R.K.Stock Holding","54.00","33.97","2,000","BSE SME",""
"All E Technologies Limited IPO","Dec 09, 2022","Dec 13, 2022","Dec 21, 2022","Unistone Capital","Nikunj Stock Brokers","90.00","48.20","1,600","NSE SME",""
"PNGS Gargi Fashion Jewellery Limited IPO","Dec 08, 2022","Dec 13, 2022","Dec 20, 2022","Shreni Shares","Shreni Shares","30.00","7.80","4,000","BSE SME",""
"Arham Technologies Limited IPO","Dec 05, 2022","Dec 07, 2022","Dec 15, 2022","Finshore","Nikunj Stock Brokers","42.00","9.58","3,000","NSE SME",""
"Baheti Recycling Industries Limited IPO","Nov 28, 2022","Nov 30, 2022","Dec 08, 2022","Hem Securities","Hem Finlease","45.00","12.42","3,000","NSE SME",""
"Pritika Engineering Components Limited IPO","Nov 25, 2022","Nov 30, 2022","Dec 08, 2022","GYR Capital Advisors","Smc Global Securities","29.00","9.42","4,000","NSE SME",""
"AMBO Agritec Ltd IPO","Nov 21, 2022","Nov 24, 2022","Dec 02, 2022","Finshore","Nikunj Stock Brokers","30.00","10.20","4,000","BSE SME",""
"Technopack Polymers Limited IPO","Nov 02, 2022","Nov 07, 2022","Nov 16, 2022","Isk Advisors","","55.00","7.87","2,000","BSE SME",""
"Amiable Logistics (India) Limited IPO","Nov 02, 2022","Nov 07, 2022","Nov 16, 2022","Shreni Shares","","81.00","4.37","1,600","NSE SME",""
"Vital Chemtech Limited IPO","Oct 31, 2022","Nov 03, 2022","Nov 14, 2022","Beeline Capital","Sunflower Broking","101.00","64.64","1,200","NSE SME",""
"DAPS Advertising Limited IPO","Oct 31, 2022","Nov 03, 2022","Nov 14, 2022","Shreni Shares","","30.00","5.10","4,000","BSE SME",""
"Integrated Personnel Services Limited IPO","Oct 31, 2022","Nov 02, 2022","Nov 11, 2022","Unistone Capital","","59.00","12.74","2,000","NSE SME",""
"Rite Zone Chemcon India Ltd IPO","Oct 31, 2022","Nov 02, 2022","Nov 11, 2022","Expert Global Consultants","","75.00","8.96","1,600","NSE SME",""
"Phantom Digital Effects Limited IPO","Oct 12, 2022","Oct 14, 2022","Oct 21, 2022","Corporate Capital","Ss Corporate Securities","95.00","29.10","1,200","NSE SME",""
"Vedant Asset Limited IPO","Sep 30, 2022","Oct 04, 2022","Oct 12, 2022","Hem Securities","","40.00","3.00","3,000","BSE SME",""
"Pace E-Commerce Ventures Limited IPO","Sep 29, 2022","Oct 13, 2022","Oct 20, 2022","Interactive Financial","","103.00","66.53","1,200","BSE SME",""
"Frog Cellsat Limited IPO","Sep 29, 2022","Oct 04, 2022","Oct 13, 2022","Sarthi Capital Advisors","Ss Corporate Securities","102.00","41.57","1,200","NSE SME",""
"Swastik Pipe Limited IPO","Sep 29, 2022","Oct 03, 2022","Oct 12, 2022","Corporate Capital","","100.00","62.52","1,200","NSE SME",""
"Lloyds Luxuries Limited IPO","Sep 28, 2022","Sep 30, 2022","Oct 11, 2022","Hem Securities","","40.00","24.00","3,000","NSE SME",""
"Silicon Rental Solutions Limited IPO","Sep 28, 2022","Sep 30, 2022","Oct 10, 2022","Hem Securities","","78.00","21.15","1,600","BSE SME",""
"Cargosol Logistics Limited IPO","Sep 28, 2022","Sep 30, 2022","Oct 10, 2022","Hem Securities","","28.00","7.56","4,000","BSE SME",""
"QMS Medical Allied Services Ltd IPO","Sep 27, 2022","Sep 30, 2022","Oct 11, 2022","First Overseas Capital","","121.00","56.87","1,000","NSE SME",""
"Cyber Media Research & Services Ltd IPO","Sep 27, 2022","Sep 29, 2022","Oct 10, 2022","Swastika Investmart","","180.00","14.04","800","NSE SME",""
"Concord Control Systems Limited IPO","Sep 27, 2022","Sep 29, 2022","Oct 10, 2022","Hem Securities","Hem Securities","55.00","8.32","2,000","BSE SME",""
"Cargotrans Maritime Limited IPO","Sep 27, 2022","Sep 29, 2022","Oct 10, 2022","Hem Securities","","45.00","4.86","3,000","BSE SME",""
"Reetech International Cargo and Courier Ltd IPO","Sep 27, 2022","Sep 29, 2022","Oct 10, 2022","Gretex Corporate Services","","105.00","11.71","1,200","BSE SME",""
"Maagh Advertising And Marketing Services Ltd IPO","Sep 26, 2022","Oct 04, 2022","Oct 13, 2022","Inventure Merchant Banker","","60.00","9.12","2,000","BSE SME",""
"Insolation Energy Limited IPO","Sep 26, 2022","Sep 29, 2022","Oct 10, 2022","Holani Consultants","","38.00","22.16","3,000","BSE SME",""
"Steelman Telecom Limited IPO","Sep 26, 2022","Sep 29, 2022","Oct 10, 2022","Gretex Corporate Services","","96.00","26.02","1,200","BSE SME",""
"Trident Lifeline Limited IPO","Sep 26, 2022","Sep 29, 2022","Oct 10, 2022","Beeline Capital","","101.00","35.34","1,200","BSE SME",""
