"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Amsons Apparels Ltd IPO","Dec 16, 2014","Dec 22, 2014","","Bcb Brokerage","","10.00","3.25","10,000","BSE SME",""
"Captain Pipes Ltd IPO","Nov 26, 2014","Dec 01, 2014","","Hem Securities","","40.00","4.40","3,000","BSE SME",""
"Anubhav Infrastructure Ltd IPO","Nov 26, 2014","Nov 28, 2014","","First Overseas Capital","","15.00","9.00","8,000","BSE SME",""
"Aanchal Ispat Ltd IPO","Nov 24, 2014","Nov 26, 2014","","Inventure Merchant Banker","","20.00","16.00","6,000","BSE SME",""
"Jet Infraventure Limited IPO","Oct 30, 2014","Nov 11, 2014","","Pantomath Capital Advisors","","125.00","4.50","1,000","BSE SME",""
"JLA Infraville Shoppers Limited IPO","Oct 16, 2014","Oct 27, 2014","","Sarthi Capital Advisors","","10.00","2.00","10,000","BSE SME",""
"ADCC Infocad Limited IPO","Sep 30, 2014","Oct 08, 2014","","Hem Securities","","40.00","9.60","3,000","BSE SME",""
"Starlit Power Systems Limited IPO","Sep 29, 2014","Oct 10, 2014","","Sarthi Capital Advisors","","18.00","2.95","8,000","BSE SME",""
"Powerhouse Fitness and Realty Ltd IPO","Sep 29, 2014","Oct 09, 2014","","First Overseas Capital","","30.00","7.20","4,000","BSE SME",""
"Dhabriya Polywood Limited IPO","Sep 29, 2014","Oct 07, 2014","","Hem Securities","","15.00","3.30","8,000","BSE SME",""
"Vibrant Global Capital Limited IPO","Sep 29, 2014","Oct 07, 2014","","Hem Securities","","19.00","11.48","6,000","BSE SME",""
"Aryaman Capital Markets Ltd IPO","Sep 25, 2014","Oct 01, 2014","","Bcb Brokerage","","12.00","4.31","","BSE SME",""
"Momai Apparels Limited IPO","Sep 25, 2014","Sep 30, 2014","","Pantomath Capital Advisors","","78.00","30.00","1,600","NSE SME",""
"Atishay Infotech Limited IPO","Sep 25, 2014","Sep 29, 2014","","Hem Securities","","16.00","3.71","8,000","BSE SME",""
"Ultracab India Ltd IPO","Sep 15, 2014","Sep 23, 2014","","Pantomath Capital Advisors","","36.00","7.97","3,000","BSE SME",""
"Encash Entertainment Ltd IPO","Sep 09, 2014","Sep 15, 2014","","Guiness Corporate Advisors","","40.00","4.39","3,000","BSE SME",""
"Sirohia & Sons Ltd IPO","Sep 08, 2014","Sep 10, 2014","","Vc Corporate Advisors","","12.00","3.60","10,000","BSE SME",""
"Naysaa Securities Ltd IPO","Sep 05, 2014","Sep 12, 2014","","Guiness Corporate Advisors","","15.00","1.50","8,000","BSE SME",""
"Vishal Fabrics Ltd IPO","Jul 31, 2014","Aug 05, 2014","","Aryaman Financial Services","","45.00","15.63","3,000","BSE SME",""
"Carewell Industries Ltd IPO","Jul 25, 2014","Jul 30, 2014","","Inventure Merchant Banker","","15.00","4.96","8,000","BSE SME",""
"Bhanderi Infracon Ltd IPO","Jul 22, 2014","Jul 25, 2014","","Choice Capital Advisors","","120.00","6.48","1,200","BSE SME",""
"Bansal Roofing Products Ltd IPO","Jun 26, 2014","Jun 30, 2014","","Hem Securities","","30.00","2.04","4,000","BSE SME",""
"Oasis Tradelink Ltd IPO","Jun 23, 2014","Jun 30, 2014","","Guiness Corporate Advisors","","30.00","6.00","4,000","BSE SME",""
"Tarini International Ltd IPO","Jun 09, 2014","Jun 13, 2014","","Guiness Corporate Advisors","","41.00","16.31","","BSE SME",""
"Dhanuka Commercial Ltd IPO","May 22, 2014","May 28, 2014","","Aryaman Financial Services","","10.00","4.44","10,000","BSE SME",""
"SPS Finquest Ltd IPO","May 21, 2014","May 23, 2014","","Monarch Networth Capital","","75.00","25.08","1,600","BSE SME",""
"GCM Capital Advisors Ltd IPO","May 05, 2014","May 07, 2014","","Inventure Merchant Banker","","20.00","9.00","6,000","BSE SME",""
"Women's Next Loungeries Ltd IPO","Mar 28, 2014","Apr 07, 2014","","Pantomath Capital Advisors","","65.00","6.50","2,000","BSE SME",""
"R & B Denims Ltd IPO","Mar 28, 2014","Apr 04, 2014","","Hem Securities","","10.00","3.71","10,000","BSE SME",""
