"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Oceanaa Biotek Industries Ltd IPO","Mar 18, 2014","Mar 20, 2014","","V B Desai Financial Services","","10.00","2.10","","BSE SME",""
"Shri Krishna Prasadam Ltd IPO","Mar 11, 2014","Mar 14, 2014","","Sobhagya Capital Options","","10.00","2.16","10,000","BSE SME",""
"Anisha Impex Ltd IPO","Mar 03, 2014","Mar 05, 2014","","Inventure Merchant Banker","","10.00","6.50","10,000","BSE SME",""
"Karnimata Cold Storage Ltd IPO","Feb 25, 2014","Mar 03, 2014","","Aryaman Financial Services","","20.00","3.04","6,000","BSE SME",""
"B C Power Controls Ltd IPO","Feb 24, 2014","Feb 28, 2014","","Sarthi Capital Advisors","","18.00","10.37","8,000","BSE SME",""
"Sanco Industries Ltd IPO","Feb 24, 2014","Feb 26, 2014","","Keynote","","18.00","4.32","8,000","NSE SME",""
"SI VI Shipping Corporation Ltd IPO","Feb 18, 2014","Feb 21, 2014","","Pantomath Capital Advisors","","25.00","6.86","6,000","BSE SME",""
"Unishire Urban Infra Ltd IPO","Feb 10, 2014","Feb 12, 2014","","Inventure Merchant Banker","","10.00","6.43","10,000","BSE SME",""
"Polymac Thermoformers Ltd IPO","Feb 06, 2014","Feb 10, 2014","","Guiness Corporate Advisors","","35.00","7.70","4,000","BSE SME",""
"Agrimony Commodities Ltd IPO","Jan 31, 2014","Feb 04, 2014","","Unicon Capital Services","","10.00","3.02","10,000","BSE SME",""
"Chemtech Industrial Valves Ltd IPO","Jan 15, 2014","Jan 17, 2014","","Choice Capital Advisors","","15.00","7.43","8,000","BSE SME",""
