"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Net Pix Shorts Digital Media Limited IPO","Nov 18, 2020","Nov 23, 2020","Dec 02, 2020","Aryaman Financial Services","","30.00","2.70","4,000","BSE SME",""
"Shine Fashions (India) Ltd IPO","Oct 22, 2020","Oct 26, 2020","","Shreni Shares","","40.00","1.60","3,000","BSE SME",""
"Bodhi Tree Multimedia Ltd IPO","Oct 09, 2020","Oct 13, 2020","Oct 21, 2020","Shreni Shares","","95.00","3.71","1,200","NSE SME",""
"Veer Global Infraconstruction Limited IPO","Sep 30, 2020","Oct 09, 2020","Oct 19, 2020","Capitalsquare Advisors","","28.00","4.92","4,000","BSE SME",""
"Atal Realtech Ltd IPO","Sep 30, 2020","Oct 07, 2020","Oct 15, 2020","Aryaman Financial Services
Galactico Cprporate Service","","72.00","10.83","1,600","NSE SME",""
"G M Polyplast Limited IPO","Sep 30, 2020","Oct 06, 2020","Oct 14, 2020","Gretex Corporate Services","","159.00","8.09","800","BSE SME",""
"AAA Technologies Limited IPO","Sep 30, 2020","Oct 05, 2020","Oct 13, 2020","Chartered Finance Management","","42.00","10.23","3,000","NSE SME",""
"Sigma Solve Limited IPO","Sep 29, 2020","Oct 09, 2020","Oct 19, 2020","Beeline Broking","","45.00","4.95","3,000","NSE SME",""
"Atam Valves Ltd IPO","Sep 18, 2020","Sep 25, 2020","Oct 06, 2020","Fedex Securities","","40.00","4.50","3,000","BSE SME",""
"SecMark Consultancy Limited IPO","Sep 18, 2020","Sep 23, 2020","Oct 01, 2020","Indorient Financial","","135.00","15.04","1,000","BSE SME",""
"Advait Infratech Limited IPO","Sep 15, 2020","Sep 18, 2020","Sep 28, 2020","Isk Advisors","","51.00","6.89","2,000","BSE SME",""
"Trekkingtoes.com Ltd IPO","Aug 18, 2020","Aug 20, 2020","Aug 28, 2020","Fast Track Finsec","","105.00","4.54","1,200","BSE SME",""
"Suratwwala Business Group Ltd IPO","Aug 03, 2020","Aug 05, 2020","Aug 13, 2020","Hem Securities","","15.00","6.90","8,000","BSE SME",""
"Bonlon Industries Ltd IPO","Jun 30, 2020","Jul 03, 2020","","Sarthi Capital Advisors","","28.00","10.52","4,000","BSE SME",""
"Ksolves India Ltd IPO","Jun 23, 2020","Jun 26, 2020","","Shreni Shares","","100.00","4.02","1,200","NSE SME",""
"Billwin Industries Ltd IPO","Jun 18, 2020","Jun 22, 2020","","Gretex Corporate Services","","37.00","2.46","3,000","BSE SME",""
"Nirmitee Robotics India Ltd IPO","Mar 31, 2020","Apr 09, 2020","Apr 21, 2020","Aryaman Financial Services","","185.00","3.24","600","BSE SME",""
"DJ Mediaprint & Logistics Ltd IPO","Mar 26, 2020","Mar 31, 2020","Apr 13, 2020","Finshore","","20.00","2.40","6,000","BSE SME",""
"Laxmi Goldorna House Ltd IPO","Mar 20, 2020","Apr 03, 2020","","Beeline Broking","","15.00","8.28","8,000","NSE SME",""
"Cospower Engineering Ltd IPO","Mar 17, 2020","Mar 19, 2020","","Shreni Shares","","51.00","2.04","2,000","BSE SME",""
"RO Jewels Ltd IPO","Mar 12, 2020","Mar 17, 2020","Mar 25, 2020","First Overseas Capital","","36.00","4.91","3,000","BSE SME",""
"SM Auto Stamping Ltd IPO","Mar 03, 2020","Mar 05, 2020","Mar 16, 2020","Hem Securities","","18.00","6.91","8,000","BSE SME",""
"ICL Organic Dairy Products Ltd IPO","Jan 31, 2020","Feb 07, 2020","Feb 17, 2020","Finshore","","20.00","4.08","6,000","BSE SME",""
"Chandra Bhagat Pharma Ltd IPO","Jan 31, 2020","Feb 06, 2020","Feb 14, 2020","Beeline Broking","","51.00","10.20","2,000","BSE SME",""
"Janus Corporation Ltd IPO","Jan 27, 2020","Jan 30, 2020","Feb 06, 2020","First Overseas Capital","","50.00","8.00","3,000","BSE SME",""
"Madhav Copper Ltd FPO","Jan 27, 2020","Jan 30, 2020","Feb 06, 2020","Pantomath Capital Advisors","","102.00","25.50","1,200","NSE SME",""
"Tranway Technologies Ltd IPO","Jan 27, 2020","Jan 29, 2020","Feb 05, 2020","Finshore","","10.00","4.24","10,000","BSE SME",""
"HindPrakash Industries Ltd IPO","Jan 15, 2020","Jan 17, 2020","Jan 27, 2020","Hem Securities","","40.00","11.52","3,000","NSE SME",""
