"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Eco Friendly Food Processing Park Ltd IPO","Dec 27, 2012","Dec 31, 2012","","Guiness Corporate Advisors","","25.00","7.52","6,000","BSE SME",""
"Veto Switchgears and Cables Ltd IPO","Dec 03, 2012","Dec 05, 2012","","Indian Overseas Bank
Keynote","","50.00","25.00","3,000","NSE SME",""
"Bronze infra-tech Ltd IPO","Oct 19, 2012","Oct 23, 2012","","Inventure Merchant Banker","","15.00","8.56","8,000","BSE SME",""
"RCL Retail Limited IPO","Sep 27, 2012","Oct 01, 2012","","Guiness Corporate Advisors","","10.00","5.80","10,000","BSE SME",""
"Anshu's Clothing Limited IPO","Sep 26, 2012","Sep 28, 2012","","First Call Equity Advisors","","27.00","5.05","","BSE SME",""
"Comfort Commotrade Ltd IPO","Sep 05, 2012","Sep 10, 2012","","Vc Corporate Advisors","","10.00","6.00","10,000","BSE SME",""
"Thejo Engineering Ltd IPO","Sep 04, 2012","Sep 06, 2012","","Idbi Capital Market","","402.00","19.00","300","NSE SME",""
"SRG Housing Finance Ltd IPO","Aug 22, 2012","Aug 28, 2012","","Aryaman Financial Services","","20.00","7.01","6,000","BSE SME",""
"Jointeca Education Solutions Ltd IPO","Aug 16, 2012","Aug 21, 2012","","Ajcon Global Services","","15.00","5.35","8,000","BSE SME",""
"Jupiter Infomedia Ltd IPO","Jul 30, 2012","Aug 01, 2012","","Aryaman Financial Services","","20.00","4.08","6,000","BSE SME",""
"Sangam Advisors Ltd IPO","Jul 24, 2012","Jul 26, 2012","","Aryaman Financial Services","","22.00","5.07","6,000","BSE SME",""
"Max Alert Systems Ltd IPO","Jun 28, 2012","Jul 02, 2012","","Comfort Securities","","20.00","8.00","6,000","BSE SME",""
"Monarch Health Services Ltd IPO","May 12, 2012","May 16, 2012","","Monarch Networth Capital","","40.00","12.00","3,000","BSE SME",""
"BCB Finance Ltd IPO","Feb 23, 2012","Feb 27, 2012","","Aryaman Financial Services","","25.00","8.85","4,000","BSE SME",""
