"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Gian Life Care Limited IPO","Dec 31, 2019","Jan 03, 2020","Jan 13, 2020","Hem Securities","","22.00","3.12","6,000","BSE SME",""
"Vaxtex Cotfab Limited IPO","Dec 27, 2019","Jan 03, 2020","Jan 13, 2020","Capitalsquare Advisors","","24.00","3.83","6,000","NSE SME",""
"Valencia Nutrition Ltd IPO","Dec 23, 2019","Dec 27, 2019","","Aryaman Financial Services","","46.00","7.23","3,000","BSE SME",""
"DC Infotech and Communication Ltd IPO","Dec 12, 2019","Dec 18, 2019","","Fedex Securities","","45.00","10.80","3,000","NSE SME",""
"Ascom Leasing & Investments Ltd IPO","Nov 26, 2019","Nov 28, 2019","","Fast Track Finsec","","30.00","6.32","4,000","NSE SME",""
"Mangalam Global Enterprise Limited IPO","Nov 15, 2019","Nov 20, 2019","Nov 27, 2019","Pantomath Capital Advisors","","51.00","21.57","2,000","NSE SME",""
"Anuroop Packaging Ltd IPO","Nov 08, 2019","Nov 13, 2019","","Gretex Corporate Services","","13.00","2.64","10,000","BSE SME",""
"Gensol Engineering Limited IPO","Sep 30, 2019","Oct 04, 2019","Oct 15, 2019","Pantomath Capital Advisors","","83.00","17.93","1,600","BSE SME",""
"Tutorials Point (India) Ltd IPO","Sep 30, 2019","Oct 04, 2019","Oct 15, 2019","Holani Consultants","","60.00 to 64.00","18.84 to 20.10","2,000","BSE SME",""
"Goblin India Limited IPO","Sep 30, 2019","Oct 04, 2019","Oct 15, 2019","Fast Track Finsec","","52.00","15.20","2,000","BSE SME",""
"Sona Hi Sona Jewellers (Gujarat) Ltd IPO","Sep 30, 2019","Oct 04, 2019","Oct 15, 2019","Fedex Securities","","10.00","4.50","10,000","NSE SME",""
"Galactico Corporate Services Ltd IPO","Sep 24, 2019","Sep 27, 2019","","Aryaman Financial Services","","23.00","3.70","6,000","BSE SME",""
"Misquita Engineering Ltd IPO","Sep 23, 2019","Sep 25, 2019","Oct 04, 2019","Gretex Corporate Services","","27.00","1.93","4,000","BSE SME",""
"Shiv Aum Steels Ltd IPO","Sep 19, 2019","Sep 23, 2019","Oct 01, 2019","Aryaman Financial Services","","44.00","15.84","3,000","NSE SME",""
"Novateor Research Laboratories Ltd IPO","Aug 30, 2019","Sep 04, 2019","Sep 13, 2019","First Overseas Capital","","24.00","4.49","6,000","BSE SME",""
"Salasar Exteriors and Contour Ltd IPO","Aug 28, 2019","Sep 03, 2019","","Navigant Corporate","","36.00","8.50","3,000","NSE SME",""
"Alphalogic Techsys Ltd IPO","Aug 26, 2019","Aug 28, 2019","Sep 05, 2019","Finshore","","84.00","6.18","1,600","BSE SME",""
"Transpact Enterprises Ltd IPO","Aug 26, 2019","Aug 28, 2019","Sep 05, 2019","Aryaman Financial Services","","130.00","1.35","1,000","BSE SME",""
"Wonder Fibromats Limited IPO","Jul 22, 2019","Jul 29, 2019","Aug 06, 2019","Navigant Corporate","","89.00","19.79","1,600","NSE SME",""
"SK International Export Limited IPO","Jun 28, 2019","Jul 05, 2019","","Finshore","","20.00","3.96","6,000","BSE SME",""
"A B Infrabuild Limited IPO","Jun 28, 2019","Jul 03, 2019","Jul 12, 2019","Mark Corporate Advisors","","29.00","12.84","4,000","NSE SME",""
"City Pulse Multiplex Limited IPO","Jun 27, 2019","Jul 03, 2019","Jul 11, 2019","Capitalsquare Advisors","","30.00","3.98","4,000","BSE SME",""
"Alumilite Architecturals Limited IPO","Jun 24, 2019","Jun 28, 2019","Jul 08, 2019","Finshore","","30.00","11.48","4,000","NSE SME",""
"SBC Exports Limited IPO","Jun 24, 2019","Jun 26, 2019","Jul 04, 2019","Navigant Corporate","","22.00","6.56","6,000","BSE SME",""
"Earum Pharmaceuticals Limited IPO","Jun 21, 2019","Jun 26, 2019","Jul 04, 2019","Hem Securities","","36.00","6.65","3,000","BSE SME",""
"Parshva Enterprises Limited IPO","Jun 19, 2019","Jun 21, 2019","Jul 01, 2019","Inventure Merchant Banker","","45.00","3.65","3,000","BSE SME",""
"Anand Rayons Limited IPO","Jun 18, 2019","Jun 24, 2019","Jul 02, 2019","Guiness Corporate Advisors","","27.00","12.66","4,000","BSE SME",""
"Meera Industries Limited FPO","Jun 13, 2019","Jun 18, 2019","Jun 26, 2019","Aryaman Financial Services","","225.00","11.75","500","BSE SME",""
"Sudarshan Pharma Industries Limited IPO","Jun 12, 2019","Jun 21, 2019","Jun 25, 2019","First Overseas Capital","","72.00","24.77","1,600","NSE SME",""
"Suich Industries Limited IPO","May 30, 2019","Jun 04, 2019","Jun 13, 2019","Pantomath Capital Advisors","","75.00","30.86","1,600","BSE SME",""
"Par Drugs and Chemicals Limited IPO","May 03, 2019","May 08, 2019","May 16, 2019","Pantomath Capital Advisors","","51.00","8.53","2,000","NSE SME",""
"Cian Healthcare Limited IPO","May 02, 2019","May 15, 2019","May 23, 2019","Fedex Securities","","61.00","37.92","2,000","BSE SME",""
"Evans Electric Limited IPO","Apr 30, 2019","May 03, 2019","May 13, 2019","Hem Securities","","52.00","1.93","2,000","BSE SME",""
"White Organic Retail Limited IPO","Apr 26, 2019","May 02, 2019","May 10, 2019","Finshore","","63.00","15.46","2,000","BSE SME",""
"Artemis Electricals Limited IPO","Apr 24, 2019","May 06, 2019","May 14, 2019","Fedex Securities","","60.00","42.00","2,000","BSE SME",""
"G. K. P. Printing & Packaging Limited IPO","Apr 23, 2019","Apr 26, 2019","May 08, 2019","Holani Consultants","","32.00","6.58","4,000","BSE SME",""
"V R Films & Studios Limited IPO","Apr 12, 2019","Apr 18, 2019","","Hem Securities","","61.00","2.27","2,000","BSE SME",""
"Jinaams Dress Limited IPO","Apr 09, 2019","Apr 15, 2019","Apr 25, 2019","Smc Capitals","","59.00","42.48","2,000","BSE SME",""
"Osia Hyper Retail Limited IPO","Mar 26, 2019","Mar 28, 2019","Apr 05, 2019","Monarch Networth Capital","","252.00","39.78","400","NSE SME",""
"KHFM Hospitality and Facility Management Services Ltd IPO","Mar 22, 2019","Apr 04, 2019","","Bonanza Portfolio","","36.00","10.62","3,000","NSE SME",""
"Northern Spirits Limited IPO","Mar 22, 2019","Mar 27, 2019","","Finshore","","43.00","18.50","3,000","BSE SME",""
"Roopshri Resorts Limited IPO","Mar 19, 2019","Mar 22, 2019","Apr 01, 2019","Aryaman Financial Services
Bcb Brokerage","","20.00","3.60","6,000","BSE SME",""
"Artedz Fabs Limited IPO","Mar 18, 2019","Mar 20, 2019","Mar 29, 2019","Pantomath Capital Advisors","","36.00","8.32","3,000","NSE SME",""
"Humming Bird Education Limited IPO","Mar 15, 2019","Mar 19, 2019","Mar 28, 2019","Share India Capital Services","","132.00","2.15","1,000","BSE SME",""
"Ashapuri Gold Ornament Limited IPO","Mar 13, 2019","Mar 18, 2019","Mar 27, 2019","Fedex Securities","","51.00","29.33","2,000","BSE SME",""
"Aartech Solonics Limited IPO","Mar 12, 2019","Mar 18, 2019","Mar 27, 2019","Swastika Investmart","","34.00","7.21","4,000","BSE SME",""
"Mahip Industries Limited IPO","Feb 26, 2019","Mar 01, 2019","","Finshore","","32.00","16.63","4,000","BSE SME",""
"Gleam Fabmat Limited IPO","Feb 19, 2019","Feb 22, 2019","Mar 05, 2019","Aryaman Financial Services","","10.00","3.12","10,000","BSE SME",""
"Mindpool Technologies Limited IPO","Feb 14, 2019","Feb 20, 2019","","Hem Securities","","30.00","3.60","4,000","NSE SME",""
"Kranti Industries Limited IPO","Feb 14, 2019","Feb 20, 2019","","Fast Track Finsec","","37.00","8.58","3,000","BSE SME",""
"Jonjua Overseas Limited IPO","Feb 12, 2019","Feb 15, 2019","","Finshore","","10.00","1.30","10,000","BSE SME",""
"Anmol India Limited IPO","Feb 12, 2019","Feb 14, 2019","","Share India Capital Services","","33.00","10.23","4,000","BSE SME",""
"Ritco Logistics Limited IPO","Jan 28, 2019","Jan 30, 2019","Feb 07, 2019","Pantomath Capital Advisors","","73.00","48.18","1,600","BSE SME",""
"Surani Steel Tubes Limited IPO","Jan 25, 2019","Jan 29, 2019","","Pantomath Capital Advisors","","52.00","12.92","2,000","NSE SME",""
"K.P.I. Global Infrastructure Limited IPO","Jan 08, 2019","Jan 11, 2019","Jan 22, 2019","Vivro Financial","","80.00","39.94","1,600","BSE SME",""
