"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Adishakti Loha and Ispat Limited IPO","Sep 30, 2021","Oct 05, 2021","","Turnaround Corporate","","11.00","2.00","10,000","BSE SME",""
"CWD Limited IPO","Sep 30, 2021","Oct 05, 2021","Oct 13, 2021","Aryaman Financial Services","","180.00","18.01","800","BSE SME",""
"Promax Power Limited IPO","Sep 30, 2021","Oct 04, 2021","Oct 12, 2021","Finshore","","10.00","1.60","10,000","BSE SME",""
"Bombay Metrics Supply Chain Limited IPO","Sep 30, 2021","Oct 04, 2021","Oct 12, 2021","","","93.00","4.29","1,200","NSE SME",""
"Shri Venkatesh Refineries Limited IPO","Sep 29, 2021","Oct 01, 2021","Oct 11, 2021","Hem Securities","","40.00","11.71","3,000","BSE SME",""
"Jainam Ferro Alloys (I) Limited IPO","Sep 28, 2021","Sep 30, 2021","Oct 08, 2021","Hem Securities","","70.00","19.61","2,000","NSE SME",""
"Getalong Enterprise Limited IPO","Sep 27, 2021","Sep 30, 2021","Oct 08, 2021","Shreni Shares","","69.00","5.18","2,000","BSE SME",""
"Quadpro ITeS Limited IPO","Sep 20, 2021","Sep 22, 2021","Sep 30, 2021","Beeline Broking","","20.00","14.10","6,000","NSE SME",""
"SBL Infratech Limited IPO","Sep 16, 2021","Sep 20, 2021","","Fast Track Finsec","","111.00","2.37","1,200","BSE SME",""
"Markolines Traffic Controls Limited IPO","Sep 15, 2021","Sep 20, 2021","Sep 27, 2021","Gretex Corporate Services","","78.00","40.00","1,600","BSE SME",""
"Prevest Denpro Limited IPO","Sep 15, 2021","Sep 17, 2021","Sep 27, 2021","Hem Securities","","84.00","26.61","1,600","BSE SME",""
"BEW Engineering Limited IPO","Sep 02, 2021","Sep 07, 2021","Sep 16, 2021","First Overseas Capital","","58.00","3.97","2,000","NSE SME",""
"Platinumone Business Services Limited IPO","Sep 02, 2021","Sep 07, 2021","Sep 16, 2021","Gretex Corporate Services","","92.00","3.89","1,200","BSE SME",""
"Naapbooks Limited IPO","Sep 01, 2021","Sep 06, 2021","Sep 15, 2021","GYR Capital Advisors","","74.00","3.99","1,600","BSE SME",""
"DU Digital Technologies Limited IPO","Aug 12, 2021","Aug 17, 2021","Aug 26, 2021","Hem Securities","","65.00","4.49","2,000","NSE SME",""
"Aashka Hospitals Limited IPO","Aug 10, 2021","Aug 24, 2021","Sep 01, 2021","Fedex Securities","","121.00","101.64","1,000","BSE SME",""
"Rex Pipes and Cables Industries Ltd IPO","Jul 28, 2021","Aug 02, 2021","Aug 10, 2021","Navigant Corporate","","26.00","6.24","4,000","NSE SME",""
"Network People Services Technologies Limited IPO","Jul 28, 2021","Aug 02, 2021","Aug 10, 2021","Boi Merchant Bankers
Holani Consultants","","80.00","13.70","1,600","NSE SME",""
"Gretex Corporate Services Ltd IPO","Jul 27, 2021","Jul 30, 2021","Aug 09, 2021","Aryaman Financial Services","","170.00","5.13","800","BSE SME",""
"AA Plus Tradelink Limited IPO","Jul 08, 2021","Jul 13, 2021","Jul 22, 2021","Inventure Merchant Banker","","18.00","6.48","8,000","BSE SME",""
"Focus Business Solution Limited IPO","Jun 30, 2021","Jul 05, 2021","Jul 13, 2021","Navigant Corporate","","19.00","1.22","6,000","BSE SME",""
"Walpar Nutritions Limited IPO","Jun 30, 2021","Jul 05, 2021","Jul 13, 2021","Beeline Broking","","55.00","6.60","2,000","NSE SME",""
"Times Green Energy (India) Ltd IPO","Jun 16, 2021","Jun 22, 2021","Jun 30, 2021","Aryaman Financial Services","","61.00","4.05","2,000","BSE SME",""
"Adeshwar Meditex Limited IPO","Jun 15, 2021","Jun 18, 2021","Jun 28, 2021","Aryaman Financial Services","","25.00","9.75","6,000","BSE SME",""
"Navoday Enterprises Limited IPO","Jun 14, 2021","Jun 17, 2021","Jun 25, 2021","Inventure Merchant Banker","","20.00","4.61","6,000","BSE SME",""
"Abhishek Integrations Limited IPO","Jun 08, 2021","Jun 11, 2021","Jun 21, 2021","Beeline Broking","","50.00","4.95","3,000","NSE SME",""
"Kuberan Global Edu Solutions Limited IPO","Apr 20, 2021","Apr 27, 2021","May 05, 2021","Fedex Securities","","20.00","1.12","6,000","BSE SME",""
"Jetmall Spices and Masala Limited IPO","Mar 31, 2021","Apr 07, 2021","Apr 19, 2021","Mark Corporate Advisors","","20.00","4.98","6,000","BSE SME",""
"Rajeshwari Cans Limited IPO","Mar 31, 2021","Apr 06, 2021","Apr 15, 2021","Fedex Securities","","20.00","4.03","6,000","BSE SME",""
"V-Marc India Limited IPO","Mar 25, 2021","Mar 31, 2021","Apr 09, 2021","Pantomath Capital Advisors","","39.00","23.40","3,000","NSE SME",""
"EKI Energy Services Limited IPO","Mar 24, 2021","Mar 26, 2021","Apr 07, 2021","Hem Securities","Hem Finlease","102.00","18.60","1,200","BSE SME",""
"Siddhika Coatings Limited IPO","Mar 24, 2021","Mar 26, 2021","","Unistone Capital","","57.00","4.70","2,000","NSE SME",""
"NIKS Technology Limited IPO","Mar 19, 2021","Mar 23, 2021","","Gretex Corporate Services","","201.00","2.01","600","BSE SME",""
"Knowledge Marine & Engineering Works Limited IPO","Mar 09, 2021","Mar 12, 2021","","Hem Securities","","37.00","10.12","3,000","BSE SME",""
"Rangoli Tradecomm Limited IPO","Mar 09, 2021","Mar 12, 2021","","Fedex Securities","","207.00","45.15","600","BSE SME",""
"Ashapuri Gold Ornament Ltd FPO","Mar 03, 2021","Mar 08, 2021","","","","81.00","30.02","1,600","BSE SME",""
"ADJIA Technologies Limited IPO","Mar 02, 2021","Mar 04, 2021","Mar 15, 2021","Shreni Shares","","74.00","2.00","1,600","BSE SME",""
"Pavna Industries Limited IPO","Feb 24, 2021","Mar 01, 2021","Mar 09, 2021","Aryaman Financial Services","","165.00","29.70","800","NSE SME",""
"Party Cruisers Limited IPO","Feb 22, 2021","Feb 25, 2021","Mar 05, 2021","First Overseas Capital","","51.00","7.75","2,000","NSE SME",""
"MRP Agro Limited IPO","Feb 08, 2021","Feb 10, 2021","","Beeline Broking","","40.00","3.24","3,000","BSE SME",""
