"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Fabino Life Sciences Limited IPO","Dec 31, 2021","Jan 05, 2022","Jan 13, 2022","Aryaman Financial Services","","36.00","3.24","3,000","BSE SME",""
"Timescan Logistics (India) Limited IPO","Dec 31, 2021","Jan 04, 2022","Jan 12, 2022","Finshore","","51.00","4.81","2,000","NSE SME",""
"Ascensive Educare Limited IPO","Dec 30, 2021","Jan 04, 2022","Jan 12, 2022","GYR Capital Advisors","","26.00","2.26","4,000","BSE SME",""
"AB Cotspin India Limited IPO","Dec 30, 2021","Jan 03, 2022","Jan 11, 2022","Pantomath Capital Advisors","","35.00","10.09","4,000","NSE SME",""
"Brandbucket Media & Technology Limited IPO","Dec 20, 2021","Dec 23, 2021","Dec 31, 2021","Inventure Merchant Banker","","55.00","8.25","2,000","BSE SME",""
"Vivo Collaboration Solutions Ltd IPO","Dec 20, 2021","Dec 23, 2021","","Sarthi Capital Advisors","","82.00","4.40","1,600","NSE SME",""
"Wherrelz IT Solutions Limited IPO","Dec 16, 2021","Dec 21, 2021","Dec 29, 2021","Fedex Securities","","171.00","2.01","800","BSE SME",""
"Clara Industries Limited IPO","Dec 16, 2021","Dec 21, 2021","Dec 29, 2021","Gretex Corporate Services","","43.00","3.02","3,000","BSE SME",""
"Euro Panel Products Limited IPO","Dec 14, 2021","Dec 16, 2021","Dec 24, 2021","Fedex Securities","","70.00","45.50","2,000","NSE SME",""
"Foce India Limited IPO","Dec 13, 2021","Dec 17, 2021","Dec 28, 2021","Mark Corporate Advisors","","225.00","29.03","600","NSE SME",""
"Nupur Recyclers Limited IPO","Dec 13, 2021","Dec 15, 2021","","Corporate Capital","","60.00","34.20","2,000","NSE SME",""
"DMR Hydroengineering & Infrastructures Limited IPO","Nov 24, 2021","Nov 29, 2021","Dec 07, 2021","Shreni Shares","","21.00","2.09","6,000","BSE SME",""
"Omnipotent Industries Limited IPO","Nov 16, 2021","Nov 22, 2021","Nov 29, 2021","Inventure Merchant Banker","","63.00","18.90","2,000","BSE SME",""
"Suyog Gurbaxani Funicular Ropeways Limited IPO","Nov 01, 2021","Nov 08, 2021","Nov 16, 2021","Aryaman Financial Services","","45.00","29.50","3,000","BSE SME",""
"Nidan Laboratories and Healthcare Limited IPO","Oct 28, 2021","Nov 02, 2021","Nov 12, 2021","First Overseas Capital","","125.00","50.00","1,000","NSE SME",""
"Kotyark Industries Ltd IPO","Oct 21, 2021","Oct 25, 2021","","Beeline Broking","","51.00","11.26","2,000","NSE SME",""
"D.K. Enterprises Global Limited IPO","Oct 07, 2021","Oct 12, 2021","Oct 22, 2021","Beeline Broking","","40.00","7.99","3,000","NSE SME",""
"Destiny Logistics & Infra Limited IPO","Sep 30, 2021","Oct 05, 2021","Oct 13, 2021","Finshore","","20.00","5.39","6,000","NSE SME",""
"Dynamic Services & Security Limited IPO","Sep 30, 2021","Oct 05, 2021","Oct 13, 2021","Finshore","","51.00","24.13","2,000","NSE SME",""
"Samor Reality Limited IPO","Sep 30, 2021","Oct 05, 2021","","Beeline Broking","","62.00","8.06","2,000","BSE SME",""
