"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Suyog Telematics Ltd IPO","Dec 30, 2013","Jan 07, 2014","","Aryaman Financial Services","","25.00","4.55","6,000","BSE SME",""
"RCI Industries & Technologies Ltd IPO","Dec 30, 2013","Jan 06, 2014","","Sarthi Capital Advisors","","40.00","11.52","3,000","BSE SME",""
"Tentiwal Wire Products Ltd IPO","Dec 11, 2013","Dec 16, 2013","","Hem Securities","","13.00","2.12","10,000","BSE SME",""
"Captain Polyplast Ltd IPO","Nov 26, 2013","Nov 28, 2013","","Hem Securities","","30.00","5.94","4,000","BSE SME",""
"MITCON Consultancy & Engineering Services Ltd IPO","Oct 15, 2013","Oct 18, 2013","","Idbi Capital Market
Keynote","","61.00","25.01","2,000","NSE SME",""
"Amrapali Capital and Finance Services Ltd IPO","Oct 15, 2013","Oct 18, 2013","","Corporate Strategic Allianz","","100.00","25.78","1,200","BSE SME",""
"Stellar Capital Services Ltd IPO","Oct 15, 2013","Oct 18, 2013","","Aryaman Financial Services","","20.00","9.00","6,000","BSE SME",""
"S R G Securities Finance Ltd IPO","Oct 07, 2013","Oct 14, 2013","","Aryaman Financial Services","","20.00","5.02","6,000","BSE SME",""
"VCU Data Management Ltd IPO","Oct 04, 2013","Oct 08, 2013","","Monarch Networth Capital","","25.00","18.75","6,000","BSE SME",""
"Subh Tex India Limited IPO","Sep 30, 2013","Oct 07, 2013","","Basan Financial Services","","10.00","3.50","10,000","BSE SME",""
"Newever Trade Wings Ltd IPO","Sep 30, 2013","Oct 03, 2013","","Inventure Merchant Banker","","10.00","6.32","10,000","BSE SME",""
"Satkar Finlease Limited IPO","Sep 25, 2013","Sep 27, 2013","","Guiness Corporate Advisors","","18.00","13.51","8,000","BSE SME",""
"Ace Tours Worldwide Ltd IPO","Sep 09, 2013","Sep 12, 2013","","Corporate Strategic Allianz","","16.00","8.00","8,000","BSE SME",""
"Tiger Logistics (India) Ltd IPO","Aug 27, 2013","Aug 29, 2013","","Sarthi Capital Advisors","","66.00","7.52","2,000","BSE SME",""
"Kushal Tradelink Ltd IPO","Aug 14, 2013","Aug 21, 2013","","Aryaman Financial Services","","35.00","27.75","4,000","BSE SME",""
"VKJ Infradevelopers Ltd IPO","Aug 12, 2013","Aug 16, 2013","","Inventure Merchant Banker","","25.00","12.75","6,000","BSE SME",""
"Silverpoint Infratech Ltd IPO","Aug 12, 2013","Aug 14, 2013","","Inventure Merchant Banker","","15.00","12.00","8,000","BSE SME",""
"GCM Commodity & Derivatives Ltd IPO","Aug 01, 2013","Aug 05, 2013","","Inventure Merchant Banker","","20.00","7.02","6,000","BSE SME",""
"Alacrity Securities Ltd IPO","Jul 29, 2013","Aug 01, 2013","","Guiness Corporate Advisors","","15.00","9.00","8,000","BSE SME",""
"Money Masters Leasing & Finance Ltd IPO","Jul 23, 2013","Jul 26, 2013","","Sobhagya Capital Options","","15.00","2.00","","BSE SME",""
"Edynamics Solutions Ltd IPO","Jun 10, 2013","Jun 12, 2013","","Guiness Corporate Advisors","","25.00","15.60","6,000","BSE SME",""
"India Finsec Limited IPO","May 24, 2013","May 28, 2013","","Aryaman Financial Services","","10.00","6.00","10,000","BSE SME",""
"Onesource Techmedia Ltd IPO","May 17, 2013","May 21, 2013","","Guiness Corporate Advisors","","14.00","2.80","10,000","BSE SME",""
"Ashapura Intimates Fashion Ltd IPO","Mar 28, 2013","Apr 04, 2013","","Kjmc Corporate Advisors","","40.00","21.00","3,000","BSE SME",""
"Samruddhi Realty Ltd IPO","Mar 28, 2013","Apr 03, 2013","","Hem Securities","","12.00","2.60","10,000","BSE SME",""
"Opal Luxury Time Products Ltd IPO","Mar 25, 2013","Mar 28, 2013","","Idbi Capital Market","","130.00","13.00","1,000","NSE SME",""
"Lakhotia Polyesters (India) Ltd IPO","Mar 19, 2013","Mar 21, 2013","","Intensive Fiscal","","35.00","5.08","4,000","BSE SME",""
"GCM Securities Ltd IPO","Mar 18, 2013","Mar 20, 2013","","Inventure Merchant Banker","","20.00","12.18","6,000","BSE SME",""
"Bothra Metals and Alloys Ltd IPO","Mar 12, 2013","Mar 14, 2013","","Sarthi Capital Advisors","","25.00","12.21","6,000","BSE SME",""
"HPC Biosciences Ltd IPO","Mar 01, 2013","Mar 05, 2013","","Guiness Corporate Advisors","","35.00","15.75","4,000","BSE SME",""
"Channel Nine Entertainment Ltd IPO","Feb 22, 2013","Feb 26, 2013","","Guiness Corporate Advisors","","25.00","11.67","6,000","BSE SME",""
"Kavita Fabrics Ltd IPO","Feb 20, 2013","Feb 22, 2013","","Intensive Fiscal","","40.00","5.10","3,000","BSE SME",""
"Sunstar Realty Development Ltd IPO","Feb 18, 2013","Feb 21, 2013","","Guiness Corporate Advisors","","20.00","10.62","6,000","BSE SME",""
"Esteem Bio Organic Food Processing Ltd IPO","Jan 18, 2013","Jan 22, 2013","","Guiness Corporate Advisors","","25.00","11.25","6,000","BSE SME",""
