"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Maheshwari Logistics Limited IPO","Dec 30, 2016","Jan 06, 2017","","Pantomath Capital Advisors","","68.00","27.17","2,000","NSE SME",""
"Libas Designs Limited IPO","Dec 27, 2016","Dec 30, 2016","","Sarthi Capital Advisors","","68.00","13.60","2,000","NSE SME",""
"Prolife Industries Limited IPO","Dec 27, 2016","Dec 30, 2016","","Swastika Investmart","","38.00","4.22","3,000","NSE SME",""
"Veeram Ornaments Ltd IPO","Dec 23, 2016","Dec 28, 2016","","Gretex Corporate Services","","45.00","5.12","3,000","BSE SME",""
"Aditya Vision Ltd IPO","Nov 28, 2016","Dec 05, 2016","","Guiness Corporate Advisors","","15.00","5.76","8,000","BSE SME",""
"Majestic Research Services & Solutions Ltd FPO","Nov 28, 2016","Dec 05, 2016","","Pantomath Capital Advisors","","114.00","9.99","","BSE SME",""
"Jet Freight Logistics Ltd IPO","Nov 24, 2016","Nov 28, 2016","","Sarthi Capital Advisors","","28.00","4.07","4,000","NSE SME",""
"Agro Phos India Ltd IPO","Oct 27, 2016","Nov 07, 2016","","Indian Overseas Bank
Pantomath Capital Advisors","","22.00","12.94","6,000","NSE SME",""
"Globe International Carriers Limited IPO","Sep 30, 2016","Oct 07, 2016","","Hem Securities","","24.00","5.17","6,000","NSE SME",""
"Art Nirman Ltd IPO","Sep 30, 2016","Oct 07, 2016","","Hem Securities","","25.00","5.01","6,000","NSE SME",""
"Aurangabad Distillery Limited IPO","Sep 30, 2016","Oct 06, 2016","","Hem Securities","","35.00","7.70","4,000","NSE SME",""
"Pansari Developers Limited IPO","Sep 30, 2016","Oct 06, 2016","","Hem Securities","","22.00","10.19","6,000","NSE SME",""
"Shashijit Infraprojects Ltd IPO","Sep 30, 2016","Oct 06, 2016","","Pantomath Capital Advisors","","15.00","3.49","8,000","BSE SME",""
"Bindal Exports Ltd IPO","Sep 30, 2016","Oct 06, 2016","","Pantomath Capital Advisors","","16.00","2.00","8,000","BSE SME",""
"Dhanuka Realty Limited IPO","Sep 30, 2016","Oct 06, 2016","","Hem Securities","","40.00","4.22","3,000","NSE SME",""
"Mewar Hi-Tech Engineering Ltd IPO","Sep 30, 2016","Oct 06, 2016","","Pantomath Capital Advisors","","22.00","2.34","6,000","BSE SME",""
