"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"India Green Reality Ltd IPO","Sep 30, 2016","Oct 06, 2016","","Guiness Corporate Advisors","","30.00","10.38","4,000","BSE SME",""
"Gretex Industries Ltd IPO","Sep 30, 2016","Oct 05, 2016","","Indian Overseas Bank
Pantomath Capital Advisors","","20.00","2.10","6,000","NSE SME",""
"Sakar Healthcare Limited IPO","Sep 30, 2016","Oct 05, 2016","","Pantomath Capital Advisors","","50.00","14.81","3,000","NSE SME",""
"DRA Consultants Ltd IPO","Sep 30, 2016","Oct 04, 2016","","Pantomath Capital Advisors","","10.00","2.96","10,000","BSE SME",""
"Diksat Transworld Ltd IPO","Sep 29, 2016","Oct 06, 2016","","Aryaman Financial Services","","40.00","18.43","3,000","BSE SME",""
"Aditya Consumer Marketing Ltd IPO","Sep 29, 2016","Oct 05, 2016","","Guiness Corporate Advisors","","15.00","6.00","8,000","BSE SME",""
"Valiant Organics Ltd IPO","Sep 29, 2016","Oct 04, 2016","","Aryaman Financial Services","","220.00","21.23","600","BSE SME",""
"Nandani Creation Ltd IPO","Sep 28, 2016","Oct 03, 2016","","Indian Overseas Bank
Pantomath Capital Advisors","","28.00","4.04","4,000","NSE SME",""
"Jet Knitwears Limited IPO","Sep 27, 2016","Sep 29, 2016","","Sarthi Capital Advisors","","39.00","4.22","3,000","NSE SME",""
"AVSL Industries Limited IPO","Sep 15, 2016","Sep 28, 2016","","Sarthi Capital Advisors","","36.00","5.18","3,000","NSE SME",""
"Radhika Jeweltech Ltd IPO","Sep 14, 2016","Sep 20, 2016","","Corporate Strategic Allianz","","75.00","49.50","1,600","BSE SME",""
"Husys Consulting Ltd IPO","Sep 09, 2016","Sep 19, 2016","","Sarthi Capital Advisors","","69.00","4.20","2,000","NSE SME",""
"Crown Lifters Limited IPO","Sep 09, 2016","Sep 19, 2016","","Sarthi Capital Advisors","","121.00","6.68","1,000","NSE SME",""
"Riddhi Steel & Tube Ltd IPO","Sep 02, 2016","Sep 07, 2016","","Guiness Corporate Advisors","","38.00","8.89","3,000","BSE SME",""
"Spicy Entertainment & Media Ltd IPO","Sep 01, 2016","Sep 07, 2016","","First Overseas Capital","","10.00","4.82","10,000","BSE SME",""
"Narayani Steels Ltd IPO","Sep 01, 2016","Sep 06, 2016","","Pantomath Capital Advisors","","32.00","11.52","4,000","BSE SME",""
"Sprayking Agro Equipment Ltd IPO","Aug 31, 2016","Sep 02, 2016","","Pantomath Capital Advisors","","21.00","1.86","6,000","BSE SME",""
"Madhya Bharat Agro Products Ltd IPO","Aug 29, 2016","Sep 02, 2016","","Hem Securities","","24.00","13.90","6,000","NSE SME",""
"Mitsu Chem Plast Ltd IPO","Aug 26, 2016","Aug 31, 2016","","Aryaman Financial Services","","95.00","9.51","1,200","BSE SME",""
"Shiva Granito Export Ltd IPO","Aug 23, 2016","Aug 29, 2016","","Pantomath Capital Advisors","","12.00","5.04","10,000","BSE SME",""
"Prabhat Telecoms (India) Ltd IPO","Jul 22, 2016","Jul 26, 2016","","Navigant Corporate","","51.00","11.22","2,000","BSE SME",""
"Kwality Pharmaceuticals Ltd IPO","Jun 30, 2016","Jul 08, 2016","","Guiness Corporate Advisors","","45.00","6.21","3,000","BSE SME",""
"KKV Agro Powers Ltd IPO","Jun 30, 2016","Jul 07, 2016","","Karvy","","320.00","3.58","","NSE SME",""
"Commercial Syn Bags Ltd IPO","Jun 30, 2016","Jul 05, 2016","","Pantomath Capital Advisors","","24.00","7.66","6,000","BSE SME",""
"Titaanium Ten Enterprise Ltd IPO","Jun 30, 2016","Jul 05, 2016","","Pantomath Capital Advisors","","15.00","2.72","8,000","BSE SME",""
"Advance Syntex Ltd IPO","Jun 30, 2016","Jul 04, 2016","","Hem Securities","","12.00","2.52","10,000","BSE SME",""
"Zeal Aqua Ltd IPO","Jun 27, 2016","Jun 30, 2016","","Corporate Strategic Allianz","","130.00","14.76","1,000","BSE SME",""
"Yash Chemex Ltd IPO","Jun 07, 2016","Jun 10, 2016","","Pantomath Capital Advisors","","23.00","2.51","6,000","BSE SME",""
"Shanti Educational Initiatives Ltd IPO","Jun 01, 2016","Jun 06, 2016","","Guiness Corporate Advisors","","90.00","39.60","1,600","BSE SME",""
"United Polyfab Gujarat Ltd IPO","May 25, 2016","May 30, 2016","","Corporate Strategic Allianz","","45.00","7.65","3,000","NSE SME",""
"Sagardeep Alloys Ltd IPO","May 04, 2016","May 09, 2016","","Chartered Capital","","20.00","6.00","6,000","NSE SME",""
"Darshan Orna Limited IPO","May 02, 2016","May 11, 2016","","First Overseas Capital","","60.00","7.54","2,000","BSE SME",""
"Bajaj Healthcare Ltd IPO","Apr 27, 2016","May 02, 2016","","Aryaman Financial Services","","170.00","30.90","800","BSE SME",""
"Ghushine Fintrrade Ocean Ltd IPO","Apr 25, 2016","Apr 27, 2016","","First Overseas Capital","","10.00","2.60","10,000","BSE SME",""
"Raghav Ramming Mass Ltd IPO","Mar 31, 2016","Apr 06, 2016","","Hem Securities","","39.00","7.49","3,000","BSE SME",""
"Lancer Container Lines Ltd IPO","Mar 31, 2016","Apr 05, 2016","","Pantomath Capital Advisors","","12.00","1.85","10,000","BSE SME",""
"Sysco Industries Ltd IPO","Mar 31, 2016","Apr 05, 2016","","Pantomath Capital Advisors","","10.00","2.17","10,000","BSE SME",""
"Franklin Leasing and Finance Ltd IPO","Mar 30, 2016","Apr 05, 2016","","Aryaman Financial Services","","15.00","6.34","8,000","BSE SME",""
"Ruby Cables Ltd IPO","Mar 30, 2016","Apr 05, 2016","","Pantomath Capital Advisors","","50.00","10.01","3,000","BSE SME",""
"Nintec Systems Ltd IPO","Mar 29, 2016","Apr 06, 2016","","Guiness Corporate Advisors","","10.00","1.88","10,000","BSE SME",""
"CHD Chemicals Ltd IPO","Mar 21, 2016","Mar 23, 2016","","First Overseas Capital","","11.00","1.98","10,000","BSE SME",""
"Umiya Tubes Ltd IPO","Mar 18, 2016","Mar 22, 2016","","Mehta Integrated Finance","","10.00","2.00","10,000","BSE SME",""
"Khemani Distributors & Marketing Ltd IPO","Mar 16, 2016","Mar 18, 2016","","Choice Capital Advisors","","100.00","15.84","1,200","BSE SME",""
"Wealth First Portfolio Managers Ltd IPO","Mar 10, 2016","Mar 18, 2016","","Sarthi Capital Advisors","","50.00","8.40","3,000","NSE SME",""
"HEC Infra Projects Ltd IPO","Mar 10, 2016","Mar 18, 2016","","Sarthi Capital Advisors","","100.00","5.39","1,200","NSE SME",""
"Relicab Cable Manufacturing Ltd IPO","Mar 09, 2016","Mar 14, 2016","","Aryaman Financial Services","","20.00","0.32","6,000","BSE SME",""
"Hi-Tech Pipes Ltd IPO","Feb 15, 2016","Feb 19, 2016","","Sarthi Capital Advisors","","50.00","13.65","3,000","NSE SME",""
"K.P. Energy Ltd IPO","Feb 15, 2016","Feb 17, 2016","","Aryaman Financial Services","","70.00","6.44","2,000","BSE SME",""
"Sylph Education Solutions Ltd IPO","Feb 10, 2016","Feb 15, 2016","","Corporate Strategic Allianz","","12.00","4.80","10,000","BSE SME",""
"Vidli Restaurants Ltd IPO","Feb 03, 2016","Feb 05, 2016","","Pantomath Capital Advisors","","10.00","1.31","10,000","BSE SME",""
"Ganga Pharmaceuticals Ltd IPO","Jan 29, 2016","Feb 09, 2016","","First Overseas Capital","","15.00","1.54","8,000","BSE SME",""
"Blueblood Ventures Ltd IPO","Jan 21, 2016","Jan 27, 2016","","Quintessence Enterprises","","50.00","7.04","3,000","BSE SME",""
