"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Jhandewalas Foods Limited IPO","Dec 29, 2017","Jan 04, 2018","","Guiness Corporate Advisors","","55.00","16.01","2,000","BSE SME",""
"Rithwik Facility Management Services Ltd IPO","Dec 29, 2017","Jan 03, 2018","","Inventure Merchant Banker","","50.00","4.05","3,000","BSE SME",""
"Brand Concepts Limited IPO","Dec 29, 2017","Jan 02, 2018","","Sarthi Capital Advisors","","45.00","12.62","3,000","NSE SME",""
"Moksh Ornaments Limited IPO","Dec 21, 2017","Dec 26, 2017","","Guiness Corporate Advisors","","37.00","11.03","3,000","NSE SME",""
"Ajooni Biotech Limited IPO","Dec 20, 2017","Dec 22, 2017","","Navigant Corporate","","30.00","6.59","4,000","NSE SME",""
"One Point One Solutions Ltd IPO","Dec 13, 2017","Dec 15, 2017","","Pantomath Capital Advisors","","67.00","44.38","","NSE SME",""
"SMVD Ploy Pack Limited IPO","Dec 13, 2017","Dec 15, 2017","","Corporate Capital","","55.00","9.02","2,000","NSE SME",""
"Diggi Multitrade Limited IPO","Dec 11, 2017","Dec 14, 2017","","Gretex Corporate Services","","13.00","3.38","10,000","BSE SME",""
"Kids Medical Systems Limited IPO","Dec 11, 2017","Dec 14, 2017","","Gretex Corporate Services","","30.00","6.00","4,000","BSE SME",""
"Touchwood Entertainment Limited IPO","Dec 11, 2017","Dec 13, 2017","","Corporate Capital","","40.00","4.21","3,000","NSE SME",""
"MRC Exim Limited IPO","Dec 06, 2017","Dec 08, 2017","","","","15.00","4.50","","BSE SME",""
"Dynamic Cables Limited IPO","Dec 04, 2017","Dec 06, 2017","","Hem Securities","","40.00","23.38","3,000","BSE SME",""
"Ratnabhumi Developers Limited IPO","Dec 04, 2017","Dec 06, 2017","","Corporate Capital","","63.00","23.31","2,000","BSE SME",""
"Innovana Thinklabs Limited IPO","Nov 29, 2017","Dec 04, 2017","","Swastika Investmart","","70.00","7.70","2,000","NSE SME",""
"ICE Make Refrigeration Ltd IPO","Nov 28, 2017","Nov 30, 2017","","Vivro Financial","","57.00","23.71","2,000","NSE SME",""
"Shradha Infraprojects (Nagpur) Limited IPO","Nov 27, 2017","Nov 30, 2017","","Aryaman Financial Services","","70.00","18.93","","NSE SME",""
"Felix Industries Limited IPO","Nov 23, 2017","Nov 27, 2017","","Monarch Networth Capital","","35.00","4.79","4,000","NSE SME",""
"Zodiac Energy Limited IPO","Nov 23, 2017","Nov 27, 2017","","Swastika Investmart","","52.00","10.14","2,000","NSE SME",""
"Silver Touch Technologies Ltd IPO","Nov 20, 2017","Nov 23, 2017","","Chartered Capital","","121.00","40.22","","NSE SME",""
"Ambition Mica Limited FPO","Nov 16, 2017","Nov 21, 2017","","Pantomath Capital Advisors","","42.00","12.60","3,000","BSE SME",""
"Sharika Enterprises Limited IPO","Nov 15, 2017","Nov 17, 2017","","Swastika Investmart","","43.00","13.87","","BSE SME",""
"Pulz Electronics Limited IPO","Nov 14, 2017","Nov 16, 2017","","Sarthi Capital Advisors","","54.00","3.92","","NSE SME",""
"Vertoz Advertising Limited IPO","Nov 14, 2017","Nov 16, 2017","","Guiness Corporate Advisors","","108.00","17.11","","NSE SME",""
"Sanghvi Brands Ltd IPO","Nov 10, 2017","Nov 14, 2017","","Sarthi Capital Advisors","","69.00","18.96","2,000","BSE SME",""
