"Issuer Company","Open Date","Close Date","Listing Date","Lead Manager","Market Maker","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"ANI Integrated Services Limited IPO","Nov 08, 2017","Nov 10, 2017","","Hem Securities","","100.00","25.66","1,200","NSE SME",""
"SecUR Credentials Ltd IPO","Nov 01, 2017","Nov 03, 2017","","Inventure Merchant Banker","","205.00","30.07","","NSE SME",""
"Sheetal Cool Products Ltd IPO","Oct 16, 2017","Oct 18, 2017","","Guiness Corporate Advisors","","80.00","24.00","","BSE SME",""
"Kaarya Facilities & Services Ltd IPO","Oct 12, 2017","Oct 17, 2017","","First Overseas Capital","","40.00","6.40","3,000","BSE SME",""
"D P Abhushan Ltd IPO","Oct 09, 2017","Oct 11, 2017","","Hem Securities","","28.00","16.61","4,000","NSE SME",""
"Milton Industries Limited IPO","Sep 29, 2017","Oct 06, 2017","","Swastika Investmart","","34.00","14.28","4,000","NSE SME",""
"Siddharth Education Services Ltd IPO","Sep 29, 2017","Oct 05, 2017","","Gretex Corporate Services","","35.00","10.88","4,000","BSE SME",""
"Shreeji Translogistics Ltd IPO","Sep 29, 2017","Oct 05, 2017","","Aryaman Financial Services","","130.00","12.40","1,000","BSE SME",""
"Omfurn India Limited IPO","Sep 29, 2017","Oct 05, 2017","","Sarthi Capital Advisors","","23.00","4.17","6,000","NSE SME",""
"Tirupati Forge Ltd IPO","Sep 29, 2017","Oct 04, 2017","","Pantomath Capital Advisors","","29.00","5.22","4,000","NSE SME",""
"Beta Drugs Limited IPO","Sep 29, 2017","Oct 04, 2017","","Pantomath Capital Advisors","","85.00","19.52","1,600","NSE SME",""
"CMM Infraprojects Limited IPO","Sep 29, 2017","Oct 04, 2017","","Systematix Corporate","","40.00","18.18","3,000","NSE SME",""
"IRIS Business Services Ltd IPO","Sep 29, 2017","Oct 04, 2017","","Pantomath Capital Advisors","","34.00","16.01","4,000","BSE SME",""
"Shree Ganesh Remedies Ltd IPO","Sep 28, 2017","Oct 05, 2017","Oct 13, 2017","Fedex Securities","","36.00","8.55","3,000","BSE SME",""
"Jash Engineering Limited IPO","Sep 28, 2017","Oct 03, 2017","","Systematix Corporate","","120.00","48.01","1,200","NSE SME",""
"Reliable Data Services Limited IPO","Sep 27, 2017","Oct 03, 2017","","Swastika Investmart","","57.00","14.82","2,000","NSE SME",""
"Goldstar Power Ltd IPO","Sep 27, 2017","Sep 29, 2017","","Pantomath Capital Advisors","","25.00","7.25","6,000","NSE SME",""
"Mehai Technology Ltd IPO","Sep 25, 2017","Sep 28, 2017","","Spa Capital","","40.00","6.00","3,000","BSE SME",""
"RKEC Projects Ltd IPO","Sep 25, 2017","Sep 28, 2017","","Hem Securities","","45.00","28.70","3,000","NSE SME",""
"Vanta Bioscience Ltd IPO","Sep 25, 2017","Sep 27, 2017","","Inventure Merchant Banker","","50.00","7.56","3,000","BSE SME",""
"Airo Lam Ltd IPO","Sep 25, 2017","Sep 27, 2017","","Pantomath Capital Advisors","","38.00","15.20","3,000","NSE SME",""
"Innovative Tyres & Tubes Ltd IPO","Sep 22, 2017","Sep 26, 2017","","Pantomath Capital Advisors","","45.00","28.34","3,000","NSE SME",""
"Poojawestern Metaliks Ltd IPO","Sep 22, 2017","Sep 26, 2017","","Pantomath Capital Advisors","","36.00","5.48","3,000","BSE SME",""
"Shree Tirupati Balajee FIBC Ltd IPO","Sep 21, 2017","Sep 26, 2017","","Pantomath Capital Advisors","","40.00","10.80","3,000","NSE SME",""
"D P Wires Limited IPO","Sep 21, 2017","Sep 26, 2017","","Sarthi Capital Advisors","","75.00","26.88","1,600","NSE SME",""
"Trident Texofab Ltd IPO","Sep 21, 2017","Sep 26, 2017","","Guiness Corporate Advisors","","30.00","3.53","4,000","BSE SME",""
"Share India Securities Ltd IPO","Sep 21, 2017","Sep 26, 2017","","Hem Securities","","41.00","26.37","3,000","BSE SME",""
"Aarvi Encon Ltd IPO","Sep 21, 2017","Sep 26, 2017","","Sarthi Capital Advisors","","54.00","21.24","2,000","NSE SME",""
"Cadsys (India) Ltd IPO","Sep 21, 2017","Sep 25, 2017","","Saffron Capital Advisors","","70.00","14.70","2,000","NSE SME",""
"AKM Lace & Embrotex Ltd IPO","Sep 20, 2017","Sep 22, 2017","","Aryaman Financial Services","","25.00","4.76","6,000","BSE SME",""
"R M Drip & Sprinklers Systems Ltd IPO","Sep 19, 2017","Sep 25, 2017","","Pantomath Capital Advisors","","57.00","11.46","2,000","NSE SME",""
"Madhya Pradesh Today Media Ltd IPO","Sep 19, 2017","Sep 21, 2017","","Mark Corporate Advisors","","66.00","14.17","2,000","NSE SME",""
"Worth Peripherals Ltd IPO","Sep 15, 2017","Sep 19, 2017","","Pantomath Capital Advisors","","43.00","18.28","3,000","NSE SME",""
"Sagar Diamonds Ltd IPO","Sep 14, 2017","Sep 18, 2017","","Gretex Corporate Services","","40.00 to 45.00","13.52 to 15.21","3,000","BSE SME",""
"Sri Krishna Metcom Limited IPO","Sep 14, 2017","Sep 18, 2017","","Microsec Capital","","55.00","19.25","2,000","NSE SME",""
"Manav infra projects Ltd IPO","Sep 04, 2017","Sep 08, 2017","","Navigant Corporate","","30.00","5.51","4,000","NSE SME",""
"Nouritrans Exim Ltd IPO","Sep 04, 2017","Sep 07, 2017","","First Overseas Capital","","30.00","6.12","4,000","BSE SME",""
"Penta Gold Ltd IPO","Sep 04, 2017","Sep 06, 2017","","Inventure Merchant Banker","","35.00","11.44","4,000","NSE SME",""
"A & M Febcon Ltd IPO","Sep 01, 2017","Sep 06, 2017","","Gretex Corporate Services","","18.00","6.68","8,000","BSE SME",""
"Dhruv Wellness Ltd IPO","Aug 31, 2017","Sep 04, 2017","","Gretex Corporate Services","","20.00","5.57","6,000","BSE SME",""
"ANG Lifesciences India Ltd IPO","Aug 29, 2017","Aug 31, 2017","","Guiness Corporate Advisors","","80.00","12.01","1,600","BSE SME",""
"Pashupati Cotspin Ltd IPO","Aug 28, 2017","Aug 31, 2017","","Hem Securities","","75.00","1.54","1,600","NSE SME",""
"Shish Industries Ltd IPO","Aug 23, 2017","Aug 28, 2017","","Corporate Capital","","30.00","4.06","4,000","BSE SME",""
"Seven Hills Beverages Ltd IPO","Aug 18, 2017","Aug 23, 2017","Sep 01, 2017","Aryaman Financial Services","","26.00","4.16","4,000","NSE SME",""
"Servotech Power Systems Ltd IPO","Aug 09, 2017","Aug 14, 2017","","Sarthi Capital Advisors","","31.00","15.13","4,000","NSE SME",""
"Geekay Wires Ltd IPO","Aug 09, 2017","Aug 14, 2017","","Aryaman Financial Services","","33.00","11.00","4,000","NSE SME",""
"Lexus Granito (India) Ltd IPO","Aug 09, 2017","Aug 11, 2017","","Pantomath Capital Advisors","","45.00","25.92","3,000","NSE SME",""
"Ashok Masala Mart Ltd IPO","Aug 07, 2017","Aug 11, 2017","","Navigant Corporate","","10.00","2.01","10,000","BSE SME",""
"Vaishali Pharma Ltd IPO","Aug 07, 2017","Aug 10, 2017","","Pantomath Capital Advisors","","72.00","14.23","1,600","NSE SME",""
"Surevin BPO Services Ltd IPO","Jul 28, 2017","Aug 01, 2017","","Hem Securities","","40.00","3.65","3,000","NSE SME",""
"Global Space Technologies Ltd IPO","Jul 26, 2017","Jul 28, 2017","","Choice Capital Advisors","","66.00","20.02","2,000","BSE SME",""
"Total Transport Systems Ltd IPO","Jul 25, 2017","Jul 28, 2017","","Sarthi Capital Advisors","","45.00","17.01","3,000","NSE SME",""
"Keerti Knowledge And Skills Ltd IPO","Jul 24, 2017","Jul 28, 2017","","Navigant Corporate","","52.00","4.06","2,000","NSE SME",""
"Shanti Overseas (India) Limited IPO","Jul 21, 2017","Jul 26, 2017","","Hem Securities","","50.00","10.02","3,000","NSE SME",""
"Captain Technocast Ltd IPO","Jul 20, 2017","Jul 24, 2017","","Hem Securities","","40.00","5.70","3,000","BSE SME",""
"Jigar Cables Ltd IPO","Jul 18, 2017","Jul 20, 2017","","Pantomath Capital Advisors","","30.00","5.59","4,000","BSE SME",""
"Univastu India Ltd IPO","Jul 14, 2017","Jul 19, 2017","","Inventure Merchant Banker","","40.00","5.99","3,000","NSE SME",""
"Shrenik Limited IPO","Jul 06, 2017","Jul 10, 2017","","Pantomath Capital Advisors","","40.00","21.60","3,000","NSE SME",""
"7NR Retails Ltd IPO","Jul 05, 2017","Jul 10, 2017","","Guiness Corporate Advisors","","27.00","5.12","4,000","BSE SME",""
"GG Engineering Ltd IPO","Jun 30, 2017","Jul 07, 2017","","Navigant Corporate","","20.00","2.23","6,000","BSE SME",""
"Bansal Multiflex Ltd IPO","Jun 30, 2017","Jul 04, 2017","","Pantomath Capital Advisors","","31.00","6.20","4,000","NSE SME",""
"Transwind Infrastructures Ltd IPO","Jun 30, 2017","Jul 04, 2017","","Swastika Investmart","","27.00","7.29","4,000","NSE SME",""
"Ace Integrated Solutions Ltd IPO","Jun 29, 2017","Jul 05, 2017","","D And A Financial Services","","40.00","7.20","3,000","NSE SME",""
"Gautam Exim Ltd IPO","Jun 29, 2017","Jul 03, 2017","","Pantomath Capital Advisors","","40.00","3.32","3,000","BSE SME",""
"Pushpanjali Realms & Infratech Ltd IPO","Jun 27, 2017","Jun 30, 2017","","Sarthi Capital Advisors","","55.00","14.55","2,000","NSE SME",""
"Accord Synergy Ltd IPO","Jun 22, 2017","Jun 28, 2017","","Hem Securities","","60.00","5.83","2,000","NSE SME",""
"Globe Textiles (India) Limited IPO","Jun 12, 2017","Jun 15, 2017","","Hem Securities","","51.00","13.71","2,000","NSE SME",""
"Riddhi Corporate Services Ltd IPO","Jun 12, 2017","Jun 15, 2017","","Gretex Corporate Services","","130.00","12.35","1,000","BSE SME",""
"Shri Ram Switchgears Limited IPO","May 25, 2017","May 30, 2017","","Sarthi Capital Advisors","","19.00","5.07","6,000","NSE SME",""
"Vadivarhe Speciality Chemicals Ltd IPO","May 22, 2017","May 25, 2017","","Hem Securities","","42.00","14.46","3,000","NSE SME",""
"Yug Decor Ltd IPO","May 18, 2017","May 23, 2017","","Gretex Corporate Services","","26.00","2.88","4,000","BSE SME",""
"Jalan Transolutions (India) Ltd IPO","May 18, 2017","May 23, 2017","","Sarthi Capital Advisors
Navigant Corporate","","46.00","17.71","3,000","NSE SME",""
"Bhakti Gems and Jewellery Ltd IPO","May 17, 2017","May 22, 2017","","Guiness Corporate Advisors","","20.00","3.92","6,000","BSE SME",""
"Meera Industries Ltd IPO","Apr 27, 2017","May 04, 2017","","Guiness Corporate Advisors","","36.00","3.89","3,000","BSE SME",""
"Zota Health Care Ltd IPO","Apr 27, 2017","May 02, 2017","","Indian Overseas Bank","","125.00","58.50","1,000","NSE SME",""
"Pure Giftcarat Ltd IPO","Apr 26, 2017","Apr 28, 2017","","Navigant Corporate","","13.00","7.45","10,000","BSE SME",""
"CKP Products Ltd IPO","Apr 26, 2017","Apr 28, 2017","","Aryaman Financial Services","","50.00","6.24","3,000","NSE SME",""
"InfoBeans Technologies Ltd IPO","Apr 18, 2017","Apr 21, 2017","","Sarthi Capital Advisors","","58.00","36.78","2,000","NSE SME",""
"KMS Medisurgi Ltd IPO","Apr 12, 2017","Apr 17, 2017","","Navigant Corporate","","30.00","2.70","4,000","BSE SME",""
"Panache Digilife Ltd IPO","Apr 11, 2017","Apr 17, 2017","","Pantomath Capital Advisors","","81.00","14.58","1,600","NSE SME",""
"Sikko Industries Ltd IPO","Apr 05, 2017","Apr 07, 2017","","Swastika Investmart","","32.00","5.12","4,000","NSE SME",""
"ASL Industries Ltd IPO","Mar 31, 2017","Apr 07, 2017","","Guiness Corporate Advisors","","35.00","9.80","4,000","NSE SME",""
"M K Proteins Limited IPO","Mar 31, 2017","Apr 07, 2017","","Sarthi Capital Advisors","","70.00","10.23","2,000","NSE SME",""
"Escorp Asset Management Ltd IPO","Mar 31, 2017","Apr 06, 2017","","Aryaman Financial Services","","15.00","3.24","8,000","BSE SME",""
"Dev Information Technology Ltd IPO","Mar 31, 2017","Apr 06, 2017","","Hem Securities","","42.00","6.25","3,000","NSE SME",""
"Focus Lighting And Fixtures Ltd IPO","Mar 30, 2017","Apr 05, 2017","","Sarthi Capital Advisors","","45.00","4.05","3,000","NSE SME",""
"Creative Peripherals & Distribution Ltd IPO","Mar 29, 2017","Apr 03, 2017","","Pantomath Capital Advisors","","75.00","13.50","1,600","NSE SME",""
"Bohra Industries Limited IPO","Mar 23, 2017","Mar 27, 2017","","Pantomath Capital Advisors","","55.00","25.15","2,000","NSE SME",""
"Relstruct Buildcon Ltd IPO","Mar 22, 2017","Mar 24, 2017","","Monarch Networth Capital","","50.00","23.36","3,000","BSE SME",""
"Euro India Fresh Foods Ltd IPO","Mar 21, 2017","Mar 24, 2017","","Pantomath Capital Advisors","","78.00","51.26","1,600","NSE SME",""
"Prime Customer Services Ltd IPO","Mar 20, 2017","Mar 23, 2017","","Aryaman Financial Services","","60.00","7.28","2,000","BSE SME",""
"Oceanic Foods Limited IPO","Mar 20, 2017","Mar 22, 2017","","Pantomath Capital Advisors","","65.00","6.50","2,000","BSE SME",""
"Octaware Technologies Ltd IPO","Mar 17, 2017","Mar 24, 2017","","Aryaman Financial Services","","90.00","8.60","1,600","BSE SME",""
"Maximus International Ltd IPO","Mar 17, 2017","Mar 22, 2017","","Aryaman Financial Services","","25.00","3.77","6,000","BSE SME",""
"Manas Properties Ltd IPO","Mar 17, 2017","Mar 22, 2017","","Aryaman Financial Services","","360.00","39.96","300","BSE SME",""
"Laxmi Cotspin Limited IPO","Mar 17, 2017","Mar 22, 2017","","Hem Securities","","20.00","9.60","6,000","NSE SME",""
"Manomay Tex India Ltd IPO","Mar 15, 2017","Mar 20, 2017","","Pantomath Capital Advisors","","30.00","11.41","4,000","BSE SME",""
"Chemcrux Enterprises Ltd IPO","Mar 15, 2017","Mar 20, 2017","","Pantomath Capital Advisors","","18.00","2.40","8,000","BSE SME",""
"Jash Dealmark Ltd IPO","Mar 15, 2017","Mar 17, 2017","","Gretex Corporate Services","","40.00","5.40","3,000","BSE SME",""
"Airan Ltd IPO","Mar 14, 2017","Mar 16, 2017","","Swastika Investmart","","45.00","14.85","3,000","NSE SME",""
"Sarthak Metals Ltd IPO","Mar 10, 2017","Mar 17, 2017","","Guiness Corporate Advisors","","30.00","10.91","4,000","BSE SME",""
"IFL Enterprises Ltd IPO","Mar 07, 2017","Mar 10, 2017","","Aryaman Financial Services","","20.00","3.25","6,000","BSE SME",""
"Sanginita Chemicals Limited IPO","Mar 01, 2017","Mar 03, 2017","","Swastika Investmart","","22.00","10.05","6,000","NSE SME",""
"Akash Infra Projects Ltd IPO","Feb 28, 2017","Mar 06, 2017","","Tipsons Consultancy Services","","125.00","25.50","1,000","NSE SME",""
"RMC Switchgears Limited IPO","Feb 28, 2017","Mar 03, 2017","","Hem Securities","","27.00","4.15","4,000","BSE SME",""
"Nitiraj Engineers Ltd IPO","Feb 20, 2017","Mar 01, 2017","","Arihant Capital Markets","","100.00","22.01","1,200","NSE SME",""
"Tanvi Foods (India) Ltd IPO","Feb 17, 2017","Feb 22, 2017","","Aryaman Financial Services","","60.00","6.60","2,000","BSE SME",""
"Global Education Ltd IPO","Feb 16, 2017","Feb 21, 2017","","Hem Securities","","150.00","10.25","1,000","NSE SME",""
"Krishana Phoschem Limited IPO","Feb 13, 2017","Feb 16, 2017","","Hem Securities","","30.00","19.73","4,000","NSE SME",""
"Steel City Securities Ltd IPO","Feb 06, 2017","Feb 09, 2017","","Keynote","","55.00","26.99","2,000","NSE SME",""
"Madhav Copper Limited IPO","Jan 23, 2017","Jan 27, 2017","","Pantomath Capital Advisors","","81.00","4.48","1,600","NSE SME",""
"Super Fine Knitters Ltd IPO","Jan 18, 2017","Jan 24, 2017","","Guiness Corporate Advisors","","12.00","4.08","","BSE SME",""
